project,field,type,method,category
elasticsearch-jdbc,0,0,2,Non-web libraries and frameworks
simpletask-android,0,0,2,Application
spring-data-document-examples,0,0,2,Application
hppc,0,0,2,Non-web libraries and frameworks
cloudhopper-smpp,1,0,1,Non-web libraries and frameworks
memcached-session-manager,0,0,2,Software tools
java,0,0,2,Non-web libraries and frameworks
android-bankdroid,0,0,2,Application
mapbox-android-sdk,0,1,1,System Software
java-memcached-client,0,0,2,Non-web libraries and frameworks
swift,0,0,2,Non-web libraries and frameworks
ChatSecureAndroid,0,0,2,Application
todo.txt-android,0,0,2,Application
live-chat-engine,0,0,2,Application
facebook4j,0,0,2,Non-web libraries and frameworks
android-sqlite-asset-helper,0,0,1,Software tools
audio-wife,0,0,1,Non-web libraries and frameworks
GoogleAuth,0,0,1,Non-web libraries and frameworks
MaterialSpinner,0,0,1,Application
thymeleaf-layout-dialect,0,1,0,Web libraries and frameworks
jenkins-gitlab-merge-request-builder-plugin,0,0,1,Application
Android-BitmapCache,0,0,1,Non-web libraries and frameworks
guava-retrying,0,0,1,Non-web libraries and frameworks
multi-thread-context,0,1,0,Non-web libraries and frameworks
material-menu,0,0,1,Non-web libraries and frameworks
liblinear-java,0,0,1,Non-web libraries and frameworks
maven-gae-plugin,1,0,0,Software tools
Android-Iconics,0,0,1,Non-web libraries and frameworks
snappy-java,0,1,0,Application
netflix-graph,0,0,1,Non-web libraries and frameworks
Paginize,1,0,0,Non-web libraries and frameworks
webimageloader,0,0,1,Non-web libraries and frameworks
jasmine-maven-plugin,1,0,0,Software tools
jsonld-java,0,0,1,Non-web libraries and frameworks
htmlelements,0,0,1,Web libraries and frameworks
m2e-android,0,0,1,Software tools
seyren,0,0,1,Software tools
libgdx-contribs,0,1,0,Non-web libraries and frameworks
dynalink,0,0,1,Non-web libraries and frameworks
HearthStats.net-Uploader,0,0,1,Application
spring-retry,0,1,0,Non-web libraries and frameworks
world,0,0,1,Application
v2ex-daily-android,0,0,1,Non-web libraries and frameworks
Transitions-Everywhere,0,0,1,Non-web libraries and frameworks
EverMemo,0,0,1,Application
librec,0,0,1,Non-web libraries and frameworks
pebble,0,1,0,Non-web libraries and frameworks
prevayler,0,0,1,Non-web libraries and frameworks
floobits-intellij,0,0,1,Software tools
AisenForAndroid,0,0,1,Non-web libraries and frameworks
sdkexamples-android,0,1,0,Application
BarcodeScanner,0,0,1,Application
wiremock,0,1,0,Non-web libraries and frameworks
gwtbootstrap3,0,0,1,Software tools
elasticsearch-knapsack,0,0,1,Application
validator,0,0,1,Application
TweetLanes,0,0,1,Application
MonsterHunter4UDatabase,0,0,1,System Software
metadata-extractor,1,0,0,Non-web libraries and frameworks
suro,0,0,1,System Software
MozStumbler,0,0,1,Software tools
d2rq,0,0,1,System Software
jacoco,0,1,0,Non-web libraries and frameworks
