project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
wiremock,git://github.com/tomakehurst/wiremock.git,555,53,29,267,6177,26,332,18,1394,53.6153846154,667,11.4482758621,73.3103448276,119,2126,0,0,227,1,1,1780,0,0,2126,1,1,100,0.0470366886,226,3146.3333333333,37.9195402299,42.3793103448,1394,969.3264367816,Non-web libraries and frameworks,Library
gwtbootstrap3,git://github.com/gwtbootstrap3/gwtbootstrap3.git,255,60,30,116,6909,11,404,2,734,66.7272727273,770,13.4666666667,90.7666666667,203,2723,0,0,322,0,0,2198,1,1,2723,1,1,100,0.0367242012,115.25,3322.3333333333,44.7444444444,52.1166666667,734,853.6888888889,Software tools,Non-library
elasticsearch-knapsack,git://github.com/jprante/elasticsearch-knapsack.git,262,26,7,46,6973,40,271,12,904,22.6,84,38.7142857143,394,357,2758,0,0,270,0,0,2131,1,1,2758,1,1,100,0.0362581581,85.25,5027.6666666667,146.5714285714,216.3571428571,904,1275.9690476191,Application,Non-library
validator,git://github.com/validator/validator.git,140,21,22,31,11769,6,556,3,3680,613.3333333333,2456,25.2727272727,133.3636363636,226,2934,0,0,274,0,0,2434,1,1,2934,1,1,100,0.0340831629,53.5,9877.3333333333,60.2121212121,79.3181818182,3680,2750.0727272727,Application,Non-library
TweetLanes,git://github.com/chrislacy/TweetLanes.git,679,84,16,270,25999,22,699,4,600,27.2727272727,778,43.6875,185.0625,389,2961,0,0,293,0,0,2279,1,1,2961,1,1,100,0.0337723742,262.25,24084,81.5833333333,114375,600,5028.4416666667,Application,Non-library
MonsterHunter4UDatabase,git://github.com/kamegami13/MonsterHunter4UDatabase.git,106,48,14,49,67860,9,1431,3,315,35,620,102.2142857143,216.1428571429,572,3026,0,0,348,0,0,2106,1,1,3026,1,1,100,0.0330469266,54.25,8508.6666666667,110.7857142857,159.1785714286,315,1829.5761904762,System Software,Non-library
metadata-extractor,git://github.com/drewnoakes/metadata-extractor.git,184,27,6,34,22128,22,372,2,4807,218.5,647,62,522.8333333333,1393,3137,1,1,235,0,0,1509,0,0,3137,1,1,100,0.0318775901,62.75,3283.6666666667,196.9444444444,292.4166666667,4807,1728.5555555556,Non-web libraries and frameworks,Library
suro,git://github.com/Netflix/suro.git,416,245,11,109,6410,35,304,22,1198,34.2285714286,553,27.6363636364,298,483,3278,0,0,393,0,0,2402,1,1,3278,1,1,100,0.0305064063,195.25,5703,112.2121212121,162.8181818182,1198,1474.2560606061,System Software,Non-library
MozStumbler,git://github.com/mozilla/MozStumbler.git,452,52,83,176,13404,85,427,3,776,9.1294117647,2575,5.1445783133,39.6746987952,577,3293,0,0,353,0,0,2363,1,1,3293,1,1,100,0.0303674461,190.75,32510.6666666667,42.6064257028,22.4096385542,776,6708.4865461847,Software tools,Non-library
d2rq,git://github.com/d2rq/d2rq.git,125,32,11,63,93683,20,556,7,3920,196,982,50.5454545455,305,504,3355,0,0,303,0,0,2548,1,1,3355,1,1,100,0.0298062593,57.75,5272.3333333333,122.1818181818,177.7727272727,3920,1910.0075757576,System Software,Non-library
jacoco,git://github.com/jacoco/jacoco.git,343,60,14,142,11754,31,708,9,2187,70.5483870968,1254,50.5714285714,266.4285714286,196,3730,0,0,489,1,1,3045,0,0,3730,1,1,100,0.0268096515,139.75,3882.6666666667,110.3333333333,158.5,2187,1295.65,Non-web libraries and frameworks,Library
fast-serialization,git://github.com/RuedigerMoeller/fast-serialization.git,387,39,5,68,7676,52,242,5,624,12,571,48.4,815.8,1018,4079,0,0,310,0,0,2751,1,1,4079,1,1,100,0.0245158127,124.75,16896.6666666667,289.7333333333,432.1,624,3673.45,Software tools,Non-library
enroscar,git://github.com/stanfy/enroscar.git,177,33,5,20,46108,11,503,4,1562,142,1471,100.6,830.6,378,4153,0,0,495,1,1,3280,0,0,4153,1,1,100,0.0240789791,58.75,6569.6666666667,312.0666666667,465.6,1562,1793.6166666667,Software tools,Non-library
spring-security-oauth,git://github.com/spring-projects/spring-security-oauth.git,971,218,58,1211,14663,30,893,5,1800,60,1022,15.3965517241,86.1724137931,179,4998,0,0,874,1,1,3945,0,0,4998,1,1,100,0.0200080032,614.5,6387.3333333333,53.1896551724,50.7844827586,1800,1781.1614942529,Web libraries and frameworks,Library
restx,git://github.com/restx/restx.git,293,36,18,64,12552,16,1612,18,810,50625,1104,89.5555555556,279.6111111111,320,5033,0,0,819,0,0,3894,1,1,5033,1,1,100,0.0198688655,102.75,8804.3333333333,129.0555555556,184.5833333333,810,2006.1444444445,Web libraries and frameworks,Library
grpc-java,git://github.com/grpc/grpc-java.git,828,152,30,192,21016,4,364,7,225,56.25,732,12.1333333333,187.7333333333,388,5632,0,0,505,1,1,4739,0,0,5632,1,1,100,0.0177556818,300.5,4797,76.6222222222,99.9333333333,225,1099.8111111111,Non-web libraries and frameworks,Library
javaslang,git://github.com/javaslang/javaslang.git,275,25,14,31,8578,5,181,3,567,113.4,1451,12.9285714286,410.6428571429,149,5749,0,0,292,0,0,5308,1,1,5749,1,1,100,0.0173943294,86.25,7809.6666666667,145.8571428571,211.7857142857,567,1764.1119047619,Non-web libraries and frameworks,Library
crash,git://github.com/crashub/crash.git,371,47,23,96,16950,85,730,5,2023,23.8,1986,31.7391304348,253.6086956522,606,5833,0,0,849,1,1,4378,0,0,5833,1,1,100,0.0171438368,134.25,35372.3333333333,102.7826086957,142.6739130435,2023,7555.0079710145,System Software,Non-library
platform_dalvik,git://github.com/android/platform_dalvik.git,266,68,61,188,98878,158,1406,56,2451,15.5126582278,7585,23.0491803279,154.7213114754,2633,9438,0,0,780,0,0,6025,1,1,9438,1,1,100,0.0105954651,145.75,91886.3333333333,79.5901639344,88.8852459016,2451,18930.3117486339,System Software,Non-library
openhab,git://github.com/openhab/openhab.git,1591,311,300,923,259640,17,6581,5,2008,118.1176470588,7277,21.9366666667,112.0633333333,7288,33619,0,0,3232,0,0,23099,1,1,33619,1,1,100,0.0029745085,781.25,42408.3333333333,144.6666666667,67,2008,9081.85,Application,Non-library
mongo-hadoop,git://github.com/mongodb/mongo-hadoop.git,968,135,47,399,93372,12,234,28,1817,151.4166666667,1082,4.9787234043,29.1489361702,150,1370,39,39,142,0,0,1078,20,19,1370,59,58,98.3050847458,4.3065693431,387.25,14325.6666666667,27.0425531915,17.0638297872,1817,3314.8046099291,Non-web libraries and frameworks,Library
lwjgl,git://github.com/LWJGL/lwjgl.git,396,83,26,108,40230,51,1377,2,4753,93.1960784314,3876,52.9615384615,704.4615384615,8644,18316,3,2,1064,0,0,8608,36,36,18316,39,38,97.4358974359,0.212928587,153.25,12936,261.141025641,378.7115384615,4753,3696.4205128205,Non-web libraries and frameworks,Library
sqoop-release,git://github.com/apache/sqoop.git,124,25,13,130,19619,27,873,20,1521,56.3333333333,714,67.1538461538,555.7692307692,1125,7225,0,0,778,182,180,5322,6,2,7225,188,182,96.8085106383,2.6020761246,73,10672,211.9743589744,311.4615384615,1521,2557.8871794872,System Software,Non-library
java-driver,git://github.com/datastax/java-driver.git,497,133,59,354,24339,53,452,36,1106,20.8679245283,1968,7.6610169492,102.1694915254,545,6028,1,1,678,0,0,4805,28,27,6028,29,28,96.5517241379,0.4810882548,260.75,26854.6666666667,56.2768361582,54.9152542373,1106,5666.5217514124,Application,Non-library
robocode,git://github.com/robo-code/robocode.git,158,44,4,63,73243,99,1293,14,5059,51.101010101,2266,323.25,1890.5,496,7562,0,0,764,1,1,6302,56,54,7562,57,55,96.4912280702,0.7537688442,67.25,4812,739.25,1106875,5059,2356875,Application,Non-library
c3p0,git://github.com/swaldman/c3p0.git,383,62,5,113,6685,60,189,4,983,16.3833333333,331,37.8,585.4,478,2927,0,0,198,6,6,2251,17,16,2927,23,22,95.652173913,0.7857874957,140.75,3451,209.4,311.6,983,1019.15,Non-web libraries and frameworks,Library
powermock,git://github.com/jayway/powermock.git,201,26,9,96,6447,5,979,2,2655,531,1237,108.7777777778,617.2222222222,529,5555,0,0,944,2,2,4082,20,19,5555,22,21,95.4545454545,0.396039604,83,6809.6666666667,245,363,2655,2031.1333333333,Non-web libraries and frameworks,Library
flyway,git://github.com/flyway/flyway.git,916,88,38,315,14174,10,700,2,1879,187.9,1352,18.4210526316,60.3947368421,44,2295,1,1,351,3,2,1900,17,17,2295,21,20,95.2380952381,0.9150326797,339.25,6716.3333333333,38.9385964912,39.4078947368,1879,1802.5859649123,Application,Non-library
joda-time,git://github.com/JodaOrg/joda-time.git,1536,139,35,357,17397,44,457,6,4266,96.9545454545,1886,13.0571428571,309.8571428571,484,10845,0,0,473,5,5,9888,16,15,10845,21,20,95.2380952381,0.193637621,516.75,63930.6666666667,119.3047619048,161.4571428571,4266,13798.8357142857,Non-web libraries and frameworks,Library
zaproxy,git://github.com/zaproxy/zaproxy.git,274,39,38,65,178902,23,2045,25,1830,79.5652173913,3121,53.8157894737,412.6842105263,953,15682,8,8,1336,19,19,13393,54,50,15682,81,77,95.0617283951,0.5165157505,104,20427,168.1666666667,233.25,1830,4552.4833333333,Application,Non-library
android-support-v4-googlemaps,git://github.com/petedoyle/android-support-v4-googlemaps.git,190,26,3,62,45304,17,295,13,665,39.1176470588,209,98.3333333333,1188.6666666667,548,3566,2,2,396,0,0,2622,17,16,3566,19,18,94.7368421053,0.532809871,70.25,9610,430,643.5,665,2283.75,Non-web libraries and frameworks,Library
android-xbmcremote,git://github.com/freezy/android-xbmcremote.git,383,84,20,305,24023,3,1241,4,1715,571.6666666667,946,62.05,405.45,1837,8109,1,1,609,2,2,5663,31,29,8109,34,32,94.1176470588,0.4192872117,198,9960.3333333333,162.5,233.75,1715,2453.9166666667,Non-web libraries and frameworks,Library
gs-collections,git://github.com/goldmansachs/gs-collections.git,1256,190,9,173,18833,16,2939,2,1251,78.1875,845,326.5555555556,3632.7777777778,347,32695,1,0,2915,18,18,29433,135,126,32695,154,144,93.5064935065,0.4710200336,407,44912.3333333333,1322.7777777778,1979.6666666667,1251,9974.5555555556,Non-web libraries and frameworks,Library
pdfbox,git://github.com/apache/pdfbox.git,198,36,5,151,100536,23,1506,15,2749,119.5217391304,4449,301.2,2679.2,2124,13396,13,13,1229,1,1,10043,77,70,13396,91,84,92.3076923077,0.6793072559,97.5,35322.6666666667,995.1333333333,1490.2,2749,8130.9,Non-web libraries and frameworks,Library
spring-integration,git://github.com/spring-projects/spring-integration.git,374,84,62,349,88887,100,3685,11,2834,28.34,8037,59.435483871,336.3387096774,1048,20853,0,0,3151,10,9,16654,16,15,20853,26,24,92.3076923077,0.1246822999,217.25,344459.666666667,152.5913978495,197.8870967742,2834,69572.2790322581,Software tools,Non-library
opencms-core,git://github.com/alkacon/opencms-core.git,205,81,33,206,1004959,198,7567,10,5740,28.9898989899,19065,229.303030303,1668.4545454546,13555,55059,71,71,3597,8,7,37907,126,111,55059,205,189,92.1951219512,0.3723278665,131.25,126092,643.5858585859,948.8787878788,5740,26711.1429292929,Web libraries and frameworks,Library
Terasology,git://github.com/MovingBlocks/Terasology.git,1106,123,60,440,320790,22,2427,9,1628,74,5152,40.45,335.0166666667,1222,20101,0,0,2072,18,18,16807,33,29,20101,51,47,92.1568627451,0.2537187205,432.25,17133.6666666667,145.1555555556,187.7333333333,1628,3905.3611111111,Non-web libraries and frameworks,Library
bc-java,git://github.com/bcgit/bc-java.git,202,49,23,179,26668,4,4632,2,924,231,2893,201.3913043478,1845.4782608696,7316,42446,80,80,4810,53,50,30320,273,242,42446,406,372,91.6256157635,0.9565094473,113.25,18041,689.9565217391,1023.4347826087,924,4158.3282608696,Application,Non-library
activejdbc,git://github.com/javalite/activejdbc.git,221,42,17,82,11236,28,441,17,1849,66.0357142857,963,25.9411764706,141.3529411765,71,2403,0,0,346,6,6,1986,27,24,2403,33,30,90.9090909091,1.3732833958,90.5,5661.3333333333,61.431372549,83.6470588235,1849,1549.1823529412,Non-web libraries and frameworks,Library
google-api-java-client,git://github.com/google/google-api-java-client.git,205,48,12,136,14301,46,280,23,1839,39.9782608696,719,23.3333333333,121.1666666667,193,1454,0,0,189,0,0,1072,11,10,1454,11,10,90.9090909091,0.7565337001,100.25,3343.3333333333,52.1666666667,72.25,1839,1081.4,Non-web libraries and frameworks,Library
args4j,git://github.com/kohsuke/args4j.git,332,29,23,102,8402,30,174,3,4332,144.4,608,7.5652173913,37.8260869565,130,870,0,0,155,0,0,585,11,10,870,11,10,90.9090909091,1.2643678161,121.5,191388,22.7971014493,22.6956521739,4332,39177.3985507246,Non-web libraries and frameworks,Library
groovy-eclipse,git://github.com/groovy/groovy-eclipse.git,108,24,13,73,560822,27,12472,18,2205,81.6666666667,2943,959.3846153846,20460.3076923077,71978,265984,627,553,11923,295,211,182083,1377,1310,265984,2299,2074,90.2131361462,0.8643377045,54.5,397704.333333333,7144.2307692308,10709.8461538462,2205,83563.582051282,Software tools,Non-library
railo,git://github.com/getrailo/railo.git,246,45,15,86,923239,164,3890,7,1896,11.5609756098,3990,259.3333333333,2545.8,5568,38187,0,0,2983,11,11,29636,149,133,38187,160,144,90,0.418990756,98,22063.6666666667,940.0444444444,1402.5666666667,1896,5280.0555555556,Software tools,Non-library
assertj-core,git://github.com/joel-costigliola/assertj-core.git,457,39,64,117,25795,15,2209,8,1779,118.6,1125,34.515625,213.15625,555,13642,0,0,2236,0,0,10851,20,18,13642,20,18,90,0.1466060695,169.25,10074.6666666667,103.890625,123.8359375,1779,2450.1286458333,Non-web libraries and frameworks,Library
pgjdbc,git://github.com/pgjdbc/pgjdbc.git,154,40,56,143,16170,92,412,21,6573,71.4456521739,1732,7.3571428571,78.2142857143,360,4380,1,0,342,1,0,3678,18,18,4380,20,18,90,0.4566210046,98.25,3901.3333333333,47.1904761905,42.7857142857,6573,2132.5119047619,Non-web libraries and frameworks,Library
android-beacon-library,git://github.com/AltBeacon/android-beacon-library.git,766,120,17,267,7210,51,114,38,685,13.431372549,450,6.7058823529,56.2352941176,114,956,1,0,101,0,0,741,9,9,956,10,9,90,1.0460251046,292.5,1245.6666666667,26.6470588235,31.4705882353,685,456.2568627451,Non-web libraries and frameworks,Library
togglz,git://github.com/togglz/togglz.git,137,31,17,61,2422,17,359,7,1314,77.2941176471,532,21.1176470588,87.6470588235,76,1490,0,0,264,1,1,1150,9,8,1490,10,9,90,0.6711409396,61.5,11163,41.9215686275,54.3823529412,1314,2526.9607843137,Non-web libraries and frameworks,Library
Smack,git://github.com/igniterealtime/Smack.git,504,122,31,319,30731,16,1268,4,4599,287.4375,2691,40.9032258065,303,883,9393,0,0,1169,8,8,7341,60,53,9393,68,61,89.7058823529,0.7239433621,244,6450,124.9677419355,171.9516129032,4599,2317.9838709678,Non-web libraries and frameworks,Library
jackson-core,git://github.com/FasterXML/jackson-core.git,725,96,24,242,9776,52,181,12,1335,25.6730769231,832,7.5416666667,125625,469,3015,2,0,185,0,0,2361,17,17,3015,19,17,89.4736842105,0.6301824212,271.75,252804,52.3888888889,66.5833333333,1335,50905.9444444444,Non-web libraries and frameworks,Library
zk,git://github.com/zkoss/zk.git,159,46,34,103,747752,101,7645,11,3382,33.4851485149,21990,224.8529411765,768.8823529412,2066,26142,8,5,2983,62,60,21093,280,242,26142,350,307,87.7142857143,1.3388417107,85.5,945807,342.5784313725,496.8676470588,3382,190022.789215686,Web libraries and frameworks,Library
android_frameworks_base,git://github.com/CyanogenMod/android_frameworks_base.git,354,134,94,999,2782643,31,28636,48,2493,80.4193548387,153986,304.6382978723,486.7553191489,13903,45755,548,498,2759,69,68,29093,363,293,45755,980,859,87.6530612245,2.1418424216,395.25,84429.3333333333,295.1312056738,395.6968085106,2493,17601.6822695035,Non-web libraries and frameworks,Library
TwelveMonkeys,git://github.com/haraldk/TwelveMonkeys.git,224,38,10,77,206337,10,1196,6,2178,217.8,736,119.6,1008.9,1733,10089,0,0,981,5,4,7375,11,10,10089,16,14,87.5,0.1585885618,87.25,107073.666666667,379.5,564.25,2178,22056.5333333333,Non-web libraries and frameworks,Library
languagetool,git://github.com/languagetool-org/languagetool.git,455,54,32,128,309069,11,2063,5,4477,407,15724,64.46875,225.6875,496,7222,0,0,1062,1,0,5664,7,7,7222,8,7,87.5,0.1107726392,167.25,4447.6666666667,107.3854166667,145.078125,4477,1868.8760416667,Software tools,Non-library
spring-android,git://github.com/spring-projects/spring-android.git,538,91,6,204,5755,10,366,5,1734,173.4,492,61,736,200,4416,0,0,566,5,5,3650,26,22,4416,31,27,87.0967741935,0.7019927536,209.75,8463.6666666667,267.6666666667,398.5,1734,2214.7166666667,Non-web libraries and frameworks,Library
freemarker,git://github.com/freemarker/freemarker.git,327,60,6,134,19886,19,1089,8,1986,104.5263157895,1348,181.5,1494,735,8964,16,16,1215,21,12,7014,76,70,8964,113,98,86.7256637168,1.2605979473,131.75,9670.6666666667,560.5,837.75,1986,2637.3333333333,Non-web libraries and frameworks,Library
ormlite-core,git://github.com/j256/ormlite-core.git,212,33,5,108,19738,63,310,3,1709,27.126984127,1572,62,951.2,785,4756,0,0,648,0,0,3323,15,13,4756,15,13,86.6666666667,0.3153910849,89.5,8534.3333333333,339.4,506.6,1709,2235.7666666667,Non-web libraries and frameworks,Library
keepassdroid,git://github.com/bpellin/keepassdroid.git,527,87,20,204,20089,113,758,2,2277,20.1504424779,799,37.9,191.3,736,3826,5,5,453,7,6,2637,3,2,3826,15,13,86.6666666667,0.3920543649,209.5,11166.6666666667,83.0666666667,114.6,2277,2770.1666666667,Non-web libraries and frameworks,Library
spring-data-mongodb,git://github.com/spring-projects/spring-data-mongodb.git,400,133,39,331,29042,57,632,39,1849,32.4385964912,1511,16.2051282051,175.5897435897,1006,6848,0,0,956,3,2,4886,49,43,6848,52,45,86.5384615385,0.7593457944,225.75,28812.3333333333,76.9316239316,95.8974358974,1849,6211.9824786325,Software tools,Non-library
hudson-2.x,git://github.com/hudson/hudson-2.x.git,150,16,30,41,72864,10,6725,10,2355,235.5,11332,224.1666666667,447.9333333333,1104,13438,43,42,1681,28,26,10653,210,175,13438,281,243,86.4768683274,2.0910849829,59.25,87945.6666666667,234.0333333333,336.05,2355,18186,System Software,Non-library
geoserver,git://github.com/geoserver/geoserver.git,457,128,200,548,238056,59,12343,31,1525,25.8474576271,4774,61715,277.32,7801,55464,11,1,6005,15,13,41658,173,158,55464,199,172,86.432160804,0.358791288,333.25,19185.3333333333,179.6783333333,169.5175,1525,4278.5558333333,System Software,Non-library
logstash-logback-encoder,git://github.com/logstash/logstash-logback-encoder.git,226,22,33,80,1947,30,145,4,967,32.2333333333,392,4.3939393939,38.3636363636,93,1266,1,1,169,4,3,1004,17,15,1266,22,19,86.3636363636,1.7377567141,90.25,9831,25.2525252525,21.3787878788,967,2186.9762626263,Non-web libraries and frameworks,Library
shiro,git://github.com/apache/shiro.git,182,43,2,134,27372,14,855,14,3559,254.2142857143,1584,427.5,2486,298,4972,2,0,651,12,12,4023,14,12,4972,28,24,85.7142857143,0.5631536605,90.25,9005.3333333333,971.8333333333,1456.75,3559,3016.6333333333,Application,Non-library
JavaHamcrest,git://github.com/hamcrest/JavaHamcrest.git,603,81,13,117,21884,9,160,6,3398,377.5555555556,562,12.3076923077,99.8461538462,21,1298,0,0,178,0,0,1099,7,6,1298,7,6,85.7142857143,0.5392912173,203.5,10528,41.7179487179,56.0769230769,3398,2845.458974359,Non-web libraries and frameworks,Library
enunciate,git://github.com/stoicflame/enunciate.git,177,40,17,90,28563,6,1723,16,3354,559,1281,101.3529411765,496.9411764706,608,8448,0,0,1139,5,4,6701,2,2,8448,7,6,85.7142857143,0.0828598485,81,93944.6666666667,205.0980392157,299.1470588235,3354,19576.7823529412,Web libraries and frameworks,Library
hibernate-orm,git://github.com/hibernate/hibernate-orm.git,1332,198,200,1137,264120,99,9266,16,2974,30.0404040404,6202,46.33,349.08,3287,69816,37,35,8602,52,42,57927,178,150,69816,267,227,85.0187265918,0.3824338261,716.75,40224,198.47,197705,2974,8862185,Non-web libraries and frameworks,Library
davdroid,git://github.com/bitfireAT/davdroid.git,499,68,10,128,50252,61,604,4,691,11.3278688525,332,60.4,385.1,700,3851,6,5,478,14,13,2673,45,37,3851,65,55,84.6153846154,1.6878732797,176.25,92453,151.8333333333,222.75,691,18738.9666666667,Application,Non-library
OpenIAB,git://github.com/onepf/OpenIAB.git,398,70,26,151,273406,18,102,18,834,46.3333333333,730,3.9230769231,35.1538461538,247,914,7,7,64,0,0,603,19,15,914,26,22,84.6153846154,2.8446389497,161.25,8655,21.6923076923,19.5384615385,834,1938.2961538462,Non-web libraries and frameworks,Library
Applied-Energistics-2,git://github.com/AppliedEnergistics/Applied-Energistics-2.git,256,83,33,117,23405,47,1646,6,601,12.7872340426,2336,49.8787878788,327.2424242424,1670,10799,1,1,1129,7,6,8000,18,15,10799,26,22,84.6153846154,0.2407630336,122.25,6783.6666666667,136.7070707071,188.5606060606,601,1566.4368686869,Application,Non-library
servo,git://github.com/Netflix/servo.git,702,267,22,142,9296,70,256,4,1335,19.0714285714,1124,11.6363636364,77.7272727273,74,1710,0,0,248,1,1,1388,12,10,1710,13,11,84.6153846154,0.7602339181,283.25,5103,37.1212121212,44.6818181818,1335,1360.6106060606,Application,Non-library
spring-data-commons,git://github.com/spring-projects/spring-data-commons.git,155,86,30,134,13005,67,594,18,1896,28.2985074627,1009,19.8,174,546,5220,0,0,945,3,1,3729,10,10,5220,13,11,84.6153846154,0.2490421456,101.25,69099.3333333333,74.6,96.9,1896,14253.6166666667,Software tools,Non-library
jmeter,git://github.com/apache/jmeter.git,237,60,4,148,199571,77,2507,25,6195,80.4545454545,11264,626.75,3123.75,995,12495,0,0,1160,3,3,10340,42,35,12495,45,38,84.4444444444,0.3601440576,112.25,20913,1251.5,1875.25,6195,6069.4,Application,Non-library
zookeeper,git://github.com/apache/zookeeper.git,1075,211,8,784,49099,59,1145,9,2634,44.6440677966,1361,143125,926.25,1188,7410,24,22,877,4,1,5345,4,4,7410,32,27,84375,0.4318488529,519.5,18538.3333333333,359125,534.6875,2634,4517.1291666667,Software tools,Non-library
jPOS,git://github.com/jpos/jPOS.git,146,42,26,152,46995,41,1210,6,6128,149.4634146341,3832,46.5384615385,421.9615384615,1165,10971,1,1,962,6,5,8844,12,10,10971,19,16,84.2105263158,0.1731838483,91.5,7146.6666666667,164.8333333333,234.25,6128,2753.05,Application,Non-library
thymeleaf,git://github.com/thymeleaf/thymeleaf.git,364,67,11,89,10039,35,430,8,1329,37.9714285714,967,39.0909090909,376.3636363636,394,4140,0,0,459,1,1,3287,24,20,4140,25,21,84,0.6038647343,132.75,4980,142.1515151515,207.7272727273,1329,1358.3257575758,Web libraries and frameworks,Library
restfb,git://github.com/restfb/restfb.git,296,60,24,150,10425,19,375,3,2004,105.4736842105,678,15625,78.1666666667,144,1876,0,0,328,4,4,1404,20,16,1876,24,20,83.3333333333,1.2793176972,132.5,4777.3333333333,39.2638888889,46.8958333333,2004,1399.9986111111,Non-web libraries and frameworks,Library
spring-data-rest,git://github.com/spring-projects/spring-data-rest.git,305,106,28,186,12069,34,387,27,1261,37.0882352941,652,13.8214285714,97.6071428571,338,2733,0,0,455,2,0,1940,10,10,2733,12,10,83.3333333333,0.4390779363,156.25,13799.6666666667,46.4761904762,55.7142857143,1261,3063.8214285714,Non-web libraries and frameworks,Library
platform_frameworks_support,git://github.com/android/platform_frameworks_support.git,556,89,42,349,37011,120,1655,45,1656,13.8,9698,39.4047619048,485.119047619,2473,20375,6,3,1587,8,7,16315,104,88,20375,118,98,83.0508474576,0.5791411043,259,22148.6666666667,188.8412698413,262.2619047619,1656,4902.953968254,Non-web libraries and frameworks,Library
openwayback,git://github.com/iipc/openwayback.git,112,39,24,76,45226,7,845,12,3586,512.2857142857,3087,35.2083333333,250.5,1073,6012,0,0,695,22,19,4244,46,37,6012,68,56,82.3529411765,1.131071191,62.75,64428,103.2361111111,142.8541666667,3586,13664.5680555556,Software tools,Non-library
soot,git://github.com/Sable/soot.git,311,51,45,138,183275,23,3997,55,6798,295.5652173913,4214,88.8222222222,1030.1555555556,5339,46357,0,0,4059,20,15,36959,14,13,46357,34,28,82.3529411765,0.0733438316,136.25,332761,387.9925925926,559.4888888889,6798,68128.5462962963,Non-web libraries and frameworks,Library
OG-Platform,git://github.com/OpenGamma/OG-Platform.git,223,51,41,143,937089,203,14837,251,2177,10.724137931,32674,361.8780487805,3561.8048780488,5996,146034,16,16,14596,569,438,125442,409,361,146034,994,815,81.9919517103,0.6806634072,114.5,187441.333333333,1321.5609756098,1961.8414634146,2177,38603.2471544715,Software tools,Non-library
grails-core,git://github.com/grails/grails-core.git,1445,171,200,699,414029,89,2261,154,3699,41.5617977528,16277,11305,51045,1257,10209,1,1,895,31,30,8057,67,50,10209,99,81,81.8181818182,0.9697325889,628.75,8304.6666666667,87.45,31175,3699,2550.2083333333,Web libraries and frameworks,Library
mapdb,git://github.com/jankotek/mapdb.git,1545,220,24,393,14464,41,241,4,1099,26.8048780488,1512,10.0416666667,266.8333333333,1146,6404,2,2,467,1,0,4791,51,42,6404,54,44,81.4814814815,0.8432229856,545.5,263276,100.2916666667,138.4375,1099,53031.8458333333,System Software,Non-library
Openfire,git://github.com/igniterealtime/Openfire.git,526,118,50,391,775974,133,7450,5,3954,29.7293233083,6624,149,434.92,1715,21746,2,2,1913,7,7,18118,34,26,21746,43,35,81.3953488372,0.1977375149,271.25,72356.6666666667,211.3066666667,291.96,3954,15417.0366666667,System Software,Non-library
jclouds,git://github.com/jclouds/jclouds.git,197,49,200,301,189447,94,5877,19,2322,24.7021276596,9437,29385,231085,5238,46217,2,1,6172,18,13,34807,125,104,46217,145,118,81.3793103448,0.3137373694,186.75,50464.6666666667,153.49,130235,2322,10651.4283333333,Software tools,Non-library
EhViewer,git://github.com/seven332/EhViewer.git,232,35,1,42,104633,39,544,4,206,5.2820512821,320,544,6977,1113,6977,1,0,599,1,0,5265,14,13,6977,16,13,81.25,0.2293249248,77.5,140840.333333333,2507.3333333333,3760.5,206,29478.3333333333,Application,Non-library
GWTP,git://github.com/ArcBees/GWTP.git,279,61,41,101,414879,28,665,9,1993,71.1785714286,2059,16.2195121951,89.7804878049,222,3681,0,0,662,18,17,2797,29,21,3681,47,38,80.8510638298,1.2768269492,120.5,17022.6666666667,49,53,1993,3847.6333333333,Web libraries and frameworks,Library
mongo-java-driver,git://github.com/mongodb/mongo-java-driver.git,1308,184,77,815,45782,94,1605,12,2411,25.6489361702,5305,20.8441558442,128.9480519481,201,9929,1,1,1024,2,2,8704,44,35,9929,47,38,80.8510638298,0.4733608621,596,47034.6666666667,75.5974025974,74.8961038961,2411,10038.432034632,Non-web libraries and frameworks,Library
hudson,git://github.com/kohsuke/hudson.git,345,45,400,2068,120559,68,10616,4,3064,45.0588235294,20473,26.54,41155,1443,16462,68,55,2219,42,38,12800,389,310,16462,499,403,80.7615230461,3.0312234236,714.5,120121,155.8983333333,33.8475,3064,24817.8491666667,Software tools,Non-library
gwt,git://github.com/gwtproject/gwt.git,426,130,57,94,332650,57,11251,4,3180,55.7894736842,8523,197.3859649123,1662.2631578947,4335,94749,21,20,10543,104,92,79871,451,351,94749,576,463,80.3819444444,0.6079219833,176.75,31749.3333333333,638.8830409357,929.8245614035,3180,7334.9581871345,Software tools,Non-library
