project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
kotlin,git://github.com/JetBrains/kotlin.git,1866,172,200,269,1489771,2953,34444,274,1747,0.5916017609,24846,172.22,265965,2737,53193,8,0,6983,7,2,43473,17,1,53193,32,3,93.75,0.0601582915,626.75,99161.6666666667,212.7283333333,219.0925,1747,20393.4475,System Software,Non-library
cassandra,git://github.com/apache/cassandra.git,2227,344,200,970,242061,169,2231,9,2363,13.9822485207,17938,11155,175.6,4088,35120,43,2,3488,6,3,27544,58,5,35120,107,10,9.3457943925,0.3046697039,935.25,49775.6666666667,128.9183333333,93.3775,2363,10659.2425,System Software,Non-library
titan,git://github.com/thinkaurelius/titan.git,2921,297,28,557,112200,22,2007,32,1165,52.9545454545,3830,71.6785714286,385.4285714286,979,10792,1,0,1238,1,1,8575,9,0,10792,11,1,9.0909090909,0.1019273536,950.75,13108.3333333333,161.7023809524,228.5535714286,1165,3122.8678571429,System Software,Non-library
glide,git://github.com/bumptech/glide.git,4263,322,16,771,28007,18,526,7,974,54.1111111111,1350,32875,321.9375,399,5151,1,1,672,0,0,4080,7,7,5151,8,8,100,0.1553096486,1343,11513,123.6041666667,177.40625,974,2826.2020833333,Web libraries and frameworks,Library
okhttp,git://github.com/square/okhttp.git,5607,494,73,1314,29101,23,287,97,1538,66.8695652174,1986,3.9315068493,68.0273972603,375,4966,0,0,315,0,0,4276,4,3,4966,4,3,75,0.0805477245,1872,106418.333333333,48.3196347032,35.9794520548,1538,21982.5264840183,Web libraries and frameworks,Library
spring-framework,git://github.com/spring-projects/spring-framework.git,6276,1338,200,5371,306838,75,7451,10,2598,34.64,10915,37255,357.36,3344,71472,5,5,10234,50,44,57894,108,63,71472,163,112,68.7116564417,0.2280613387,3296.25,26854.3333333333,198205,197.3075,2598,6628.8191666667,Web libraries and frameworks,Library
commons-io,git://github.com/apache/commons-io.git,135,33,15,91,8811,43,280,4,4953,115.1860465116,1786,18.6666666667,202.3333333333,123,3035,6,6,244,4,4,2668,44,44,3035,54,54,100,1.7792421746,68.5,11953,78.6666666667,110.5,4953,3432.7333333333,Non-web libraries and frameworks,Library
Koloboke,git://github.com/OpenHFT/Koloboke.git,347,62,3,43,32481,10,343,3,530,53,246,114.3333333333,1089.3333333333,372,3268,0,0,375,16,16,2521,27,27,3268,43,43,100,1.3157894737,113.75,2636.3333333333,402.2222222222,601.8333333333,530,856.8277777778,Non-web libraries and frameworks,Library
parseq,git://github.com/linkedin/parseq.git,321,73,12,78,4302,20,339,10,1064,53.2,263,28.25,189.0833333333,71,2269,0,0,278,5,5,1920,27,27,2269,32,32,100,1.4103129132,121,11371.6666666667,76.4444444444,108.6666666667,1064,2548.3555555556,Web libraries and frameworks,Library
commons-lang,git://github.com/apache/commons-lang.git,297,66,29,208,31487,70,359,8,4772,68.1714285714,4397,12.3793103448,242.1724137931,454,7023,11,11,492,0,0,6077,21,21,7023,32,32,100,0.4556457354,150,2632.3333333333,94.5172413793,127.275862069,4772,1555.2252873563,Non-web libraries and frameworks,Library
zt-exec,git://github.com/zeroturnaround/zt-exec.git,168,27,6,16,796,5,78,2,817,163.4,163,13,78,18,468,0,0,71,0,0,379,23,23,468,23,23,100,4.9145299145,54.25,10675.6666666667,32.3333333333,45.5,817,2324.95,Non-web libraries and frameworks,Library
WeatherLib,git://github.com/survivingwithandroid/WeatherLib.git,505,42,7,154,31134,11,425,4,476,43.2727272727,268,60.7142857143,103.8571428571,64,727,0,0,93,1,1,570,19,19,727,20,20,100,2.7510316369,177,2201,57.1904761905,82.2857142857,476,598.6952380952,Non-web libraries and frameworks,Library
truth,git://github.com/google/truth.git,406,48,16,39,5769,19,107,6,1511,79.5263157895,718,6.6875,75.8125,39,1213,0,0,117,0,0,1057,20,20,1213,20,20,100,1.6488046167,127.25,50097.6666666667,32.8333333333,41.25,1511,10362,Non-web libraries and frameworks,Library
jogl,git://github.com/sgothel/jogl.git,143,24,30,87,146619,50,2461,21,4459,89.18,5899,82.0333333333,890.3666666667,8283,26711,0,0,1661,0,0,16767,20,20,26711,20,20,100,0.0748755194,71,13390.3333333333,334.1333333333,486.2,4459,3748.1333333333,Non-web libraries and frameworks,Library
StartupNews,git://github.com/halzhang/StartupNews.git,266,42,1,102,13140,8,320,3,793,99125,182,320,1115,84,1115,2,2,124,0,0,907,14,14,1115,16,16,100,1.4349775785,102.75,1041901.33333333,478.6666666667,717.5,793,208798.65,Non-web libraries and frameworks,Library
chipKIT32-MAX,git://github.com/chipKIT32/chipKIT32-MAX.git,110,31,20,60,3123007,17,1582,16,3647,214.5294117647,1988,79.1,412.35,2372,8247,4,4,308,0,0,5567,12,12,8247,16,16,100,0.194009943,55.25,5181,170.4833333333,245725,3647,1859.8916666667,Software tools,Non-library
raven-java,git://github.com/getsentry/raven-java.git,146,9,19,91,7102,16,194,7,1261,78.8125,1393,10.2105263158,49.6842105263,72,944,0,0,121,0,0,751,15,15,944,15,15,100,1.5889830508,66.25,1078,26.298245614,29.9473684211,1261,492.299122807,Software tools,Non-library
minimal-json,git://github.com/ralfstx/minimal-json.git,219,43,6,82,2198,5,92,3,879,175.8,157,15.3333333333,163.1666666667,22,979,3,3,59,0,0,898,12,12,979,15,15,100,1.5321756895,87.5,15084.6666666667,61.5,89.25,879,3240.3833333333,Non-web libraries and frameworks,Library
jgit,git://github.com/eclipse/jgit.git,267,46,90,145,42674,67,1601,25,2151,32.1044776119,3926,17.7888888889,186.3777777778,2117,16774,0,0,1496,8,8,13161,7,7,16774,15,15,100,0.0894241087,137,14582,98.0555555556,102.0833333333,2151,3414.0277777778,Non-web libraries and frameworks,Library
Android-Universal-Image-Loader,git://github.com/nostra13/Android-Universal-Image-Loader.git,9793,1265,35,4594,26820,28,152,4,1351,48.25,1012,4.3428571429,30.8285714286,147,1079,0,0,117,0,0,815,14,14,1079,14,14,100,1.297497683,3921.75,67208,23.3904761905,17.5857142857,1351,14504.3452380952,Non-web libraries and frameworks,Library
quickblox-android-sdk,git://github.com/QuickBlox/quickblox-android-sdk.git,155,54,11,391,197106,13,3439,10,1013,77.9230769231,663,312.6363636364,208.8181818182,438,2297,2,2,173,0,0,1686,12,12,2297,14,14,100,0.60949064,152.75,19139.3333333333,177.4848484848,260.7272727273,1013,4148.6590909091,Application,Non-library
