project,name,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantFieldsDeprecated_last,perc_quantFieldsDeprecated_last,quantFieldsDeprecatedAnnotation_last,quantFieldsDeprecatedJavaDoc_last,quantFieldsDeprecatedWithRelMessage_last,perc_quantFieldsDeprecatedWithRelMessage_last,quantUserFields_last,quantReplaceFields_last,quantReferFields_last,quantEquivalentFields_last,quantLinkFields_last,quantSeeFields_last,quantTypes_last,quantTypesDeprecated_last,perc_quantTypesDeprecated_last ,quantTypesDeprecatedAnnotation_last,quantTypesDeprecatedJavaDoc_last,quantTypesDeprecatedWithRelMessage_last,perc_quantTypesDeprecatedWithRelMessage_last,quantUserTypes_last,quantReplaceTypes_last,quantReferTypes_last,quantEquivalentTypes_last,quantLinkTypes_last,quantSeeTypes_last,quantMethods_last,quantMethodsDeprecated_last,perc_quantMethodsDeprecated_last,quantMethodsDeprecatedAnnotation_last,quantMethodsDeprecatedJavaDoc_last,quantMethodsDeprecatedWithRelMessage_last,perc_quantMethodsDeprecatedWithRelMessage_last,quantUserMethods_last,quantReplaceMethods_last,quantReferMethods_last,quantEquivalentMethods_last,quantLinkMethods_last,quantSeeMethods_last,quantElements_last,quantElementsDeprecated_last,perc_quantElementsDeprecated_last,quantElementsDeprecatedAnnotation_last,quantElementsDeprecatedJavaDoc_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,quantUserElements_last,quantReplaceElements_last,quantReferElements_last,quantEquivalenElements_last,quantLinkElements_last,quantSeeElements_last,curve,category,category2
Android-Iconics,Android-Iconics,git://github.com/mikepenz/Android-Iconics.git,440,25,7,71,6013,24,133,5,293,12.2083333333,262,19,53,11,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,328,1,0.3048780488,1,1,1,100,1,0,0,0,0,0,371,1,0.269541779,1,1,1,100,1,0,0,0,0,0,increase,Non-web libraries and frameworks,Library
snappy-java,snappy-java,git://github.com/xerial/snappy-java.git,216,36,19,71,26935,44,100,12,1595,36.25,646,5.2631578947,20.7368421053,59,0,0,0,0,0,0,0,0,0,0,0,0,29,1,3.4482758621,1,1,1,100,1,0,0,0,1,0,306,0,0,0,0,0,0,0,0,0,0,0,0,394,1,0.2538071066,1,1,1,100,1,0,0,0,1,0,stable,Application,Non-library
netflix-graph,netflix-graph,git://github.com/Netflix/netflix-graph.git,298,236,2,49,1149,9,67,3,887,98.5555555556,47,33.5,209.5,19,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,345,1,0.2898550725,1,1,1,100,1,0,0,0,0,0,419,1,0.2386634845,1,1,1,100,1,0,0,0,0,0,increase,Non-web libraries and frameworks,Library
Paginize,Paginize,git://github.com/neevek/Paginize.git,302,26,1,41,1252,8,86,3,506,63.25,120,86,428,9,1,11.1111111111,0,1,1,100,1,0,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,428,1,0.2336448598,0,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
webimageloader,webimageloader,git://github.com/lexs/webimageloader.git,107,20,3,23,2699,9,173,5,305,33.8888888889,327,57.6666666667,195,28,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,470,1,0.2127659574,1,1,1,100,1,0,0,0,1,0,585,1,0.1709401709,1,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
jasmine-maven-plugin,jasmine-maven-plugin,git://github.com/searls/jasmine-maven-plugin.git,281,30,24,152,9579,21,262,5,1871,89.0952380952,597,10.9166666667,25.0416666667,59,1,1.6949152542,1,1,1,100,1,0,0,0,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,601,1,0.1663893511,1,1,1,100,1,0,0,0,1,0,increase,Software tools,Non-library
jsonld-java,jsonld-java,git://github.com/jsonld-java/jsonld-java.git,130,37,17,66,3935,9,1080,2,1183,131.4444444444,540,63.5294117647,41.7058823529,147,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,490,1,0.2040816327,1,1,1,100,1,0,0,0,1,0,709,1,0.1410437236,1,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
htmlelements,htmlelements,git://github.com/yandex-qatools/htmlelements.git,115,37,13,58,1872,7,128,6,1042,148.8571428571,429,9.8461538462,55.3846153846,56,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,542,1,0.184501845,1,1,1,100,1,0,0,0,0,0,720,1,0.1388888889,1,1,1,100,1,0,0,0,0,0,stable,Web libraries and frameworks,Library
m2e-android,m2e-android,git://github.com/rgladwell/m2e-android.git,353,33,18,73,18024,14,301,4,2072,148,808,16.7222222222,42.1111111111,15,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,606,1,0.1650165017,1,1,1,100,0,1,0,0,1,0,758,1,0.1319261214,1,1,1,100,0,1,0,0,1,0,increase,Software tools,Non-library
seyren,seyren,git://github.com/scobal/seyren.git,550,60,29,142,58991,5,159,3,1197,239.4,585,5.4827586207,26.1724137931,13,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,652,1,0.1533742331,1,1,1,100,1,0,0,0,0,0,759,1,0.1317523057,1,1,1,100,1,0,0,0,0,0,increase,Software tools,Non-library
