project,rm,ed,category
librec,100,0.0784313725,Non-web libraries and frameworks
pebble,100,0.0722543353,Non-web libraries and frameworks
prevayler,100,0.0702740689,Non-web libraries and frameworks
floobits-intellij,100,0.0687285223,Software tools
AisenForAndroid,100,0.0574052813,Non-web libraries and frameworks
sdkexamples-android,100,0.0517598344,Application
BarcodeScanner,100,0.0508646999,Application
wiremock,100,0.0470366886,Non-web libraries and frameworks
gwtbootstrap3,100,0.0367242012,Software tools
elasticsearch-knapsack,100,0.0362581581,Application
validator,100,0.0340831629,Application
TweetLanes,100,0.0337723742,Application
MonsterHunter4UDatabase,100,0.0330469266,System Software
metadata-extractor,100,0.0318775901,Non-web libraries and frameworks
suro,100,0.0305064063,System Software
MozStumbler,100,0.0303674461,Software tools
d2rq,100,0.0298062593,System Software
jacoco,100,0.0268096515,Non-web libraries and frameworks
fast-serialization,100,0.0245158127,Software tools
enroscar,100,0.0240789791,Software tools
spring-security-oauth,100,0.0200080032,Web libraries and frameworks
restx,100,0.0198688655,Web libraries and frameworks
grpc-java,100,0.0177556818,Non-web libraries and frameworks
javaslang,100,0.0173943294,Non-web libraries and frameworks
crash,100,0.0171438368,System Software
platform_dalvik,100,0.0105954651,System Software
openhab,100,0.0029745085,Application
mongo-hadoop,98.3050847458,4.3065693431,Non-web libraries and frameworks
lwjgl,97.4358974359,0.212928587,Non-web libraries and frameworks
sqoop-release,96.8085106383,2.6020761246,System Software
java-driver,96.5517241379,0.4810882548,Application
robocode,96.4912280702,0.7537688442,Application
c3p0,95.652173913,0.7857874957,Non-web libraries and frameworks
powermock,95.4545454545,0.396039604,Non-web libraries and frameworks
flyway,95.2380952381,0.9150326797,Application
joda-time,95.2380952381,0.193637621,Non-web libraries and frameworks
zaproxy,95.0617283951,0.5165157505,Application
android-support-v4-googlemaps,94.7368421053,0.532809871,Non-web libraries and frameworks
android-xbmcremote,94.1176470588,0.4192872117,Non-web libraries and frameworks
gs-collections,93.5064935065,0.4710200336,Non-web libraries and frameworks
pdfbox,92.3076923077,0.6793072559,Non-web libraries and frameworks
spring-integration,92.3076923077,0.1246822999,Software tools
opencms-core,92.1951219512,0.3723278665,Web libraries and frameworks
Terasology,92.1568627451,0.2537187205,Non-web libraries and frameworks
bc-java,91.6256157635,0.9565094473,Application
activejdbc,90.9090909091,1.3732833958,Non-web libraries and frameworks
google-api-java-client,90.9090909091,0.7565337001,Non-web libraries and frameworks
args4j,90.9090909091,1.2643678161,Non-web libraries and frameworks
groovy-eclipse,90.2131361462,0.8643377045,Software tools
railo,90,0.418990756,Software tools
assertj-core,90,0.1466060695,Non-web libraries and frameworks
