name,rm,avgAll,category
ormlite-core,86.6666666667,2235.7666666667,Non-web libraries and frameworks
keepassdroid,86.6666666667,2770.1666666667,Non-web libraries and frameworks
spring-data-mongodb,86.5384615385,6211.9824786325,Software tools
hudson-2.x,86.4768683274,18186,System Software
geoserver,86.432160804,4278.5558333333,System Software
logstash-logback-encoder,86.3636363636,2186.9762626263,Non-web libraries and frameworks
shiro,85.7142857143,3016.6333333333,Application
JavaHamcrest,85.7142857143,2845.458974359,Non-web libraries and frameworks
enunciate,85.7142857143,19576.7823529412,Web libraries and frameworks
hibernate-orm,85.0187265918,8862.185,Non-web libraries and frameworks
davdroid,84.6153846154,18738.9666666667,Application
OpenIAB,84.6153846154,1938.2961538462,Non-web libraries and frameworks
Applied-Energistics-2,84.6153846154,1566.4368686869,Application
servo,84.6153846154,1360.6106060606,Application
spring-data-commons,84.6153846154,14253.6166666667,Software tools
jmeter,84.4444444444,6069.4,Application
zookeeper,84.375,4517.1291666667,Software tools
jPOS,84.2105263158,2753.05,Application
thymeleaf,84,1358.3257575758,Web libraries and frameworks
restfb,83.3333333333,1399.9986111111,Non-web libraries and frameworks
spring-data-rest,83.3333333333,3063.8214285714,Non-web libraries and frameworks
platform_frameworks_support,83.0508474576,4902.953968254,Non-web libraries and frameworks
openwayback,82.3529411765,13664.5680555556,Software tools
soot,82.3529411765,68128.5462962963,Non-web libraries and frameworks
OG-Platform,81.9919517103,38603.2471544715,Software tools
grails-core,81.8181818182,2550.2083333333,Web libraries and frameworks
mapdb,81.4814814815,53031.8458333333,System Software
Openfire,81.3953488372,15417.0366666667,System Software
jclouds,81.3793103448,10651.4283333333,Software tools
EhViewer,81.25,29478.3333333333,Application
GWTP,80.8510638298,3847.6333333333,Web libraries and frameworks
mongo-java-driver,80.8510638298,10038.432034632,Non-web libraries and frameworks
hudson,80.7615230461,24817.8491666667,Software tools
gwt,80.3819444444,7334.9581871345,Software tools
cursor-utils,80,605.4166666667,Non-web libraries and frameworks
Java-Thread-Affinity,80,1449.2083333333,Application
gnucash-android,80,17868.5397435897,Application
subsonic,80,10222.5166666667,Application
Subsonic,80,2480.1277777778,Non-web libraries and frameworks
AxonFramework,79.1666666667,10314.7495495495,Non-web libraries and frameworks
liquibase,78.75,10825.5091666667,System Software
operaprestodriver,78.5714285714,7384.7907407407,Non-web libraries and frameworks
playn,78.125,4921.5925287356,Non-web libraries and frameworks
nifty-gui,78,1779.5357142857,Non-web libraries and frameworks
frames,77.7777777778,35031.3333333333,Non-web libraries and frameworks
restlet-framework-java,77.7777777778,3454.46875,Non-web libraries and frameworks
asterisk-java,77.5510204082,4660.5869047619,Non-web libraries and frameworks
calabash-android,77.3195876289,3556.1155172414,Software tools
ps3mediaserver,76.5853658537,1615.1476190476,System Software
slf4j,76.4705882353,1435.8900900901,Software tools
jnr-ffi,76.4705882353,50229.65,Non-web libraries and frameworks
xwiki-platform,76.1310452418,3748.6846938776,Non-web libraries and frameworks
fanfoudroid,75.8620689655,4763.4666666667,Application
Resteasy,75,4011.2373239437,Non-web libraries and frameworks
curator-apache,75,1170.3780701754,Non-web libraries and frameworks
android-utils,75,162.35,Non-web libraries and frameworks
JSONassert,75,11587.95,Non-web libraries and frameworks
crawljax,75,1969.6611111111,Application
avaje-ebeanorm,75,12358.1433333333,Non-web libraries and frameworks
legacy-jclouds,74.5283018868,21773.5787878788,Web libraries and frameworks
openmrs-core,73.7354085603,10451.38,Web libraries and frameworks
vaadin,73.2899022801,4362.2132352941,Non-web libraries and frameworks
opennlp,73.1707317073,1089.0416666667,Non-web libraries and frameworks
github-plugin,72.7272727273,1354.0708333333,Application
rest-assured,72.7272727273,26024.7303921569,Web libraries and frameworks
igv,72.7272727273,57363.7648148148,Application
xtext,72.1223021583,28240.8070707071,Non-web libraries and frameworks
tomcat70,72.1052631579,6129.5074074074,System Software
ngrinder,71.4285714286,28741.6666666667,Application
rstudio,71.4285714286,2268.6137931035,Application
Ektorp,71.4285714286,3322.8798245614,Non-web libraries and frameworks
quickfixj,71.4285714286,3625.9987179487,Non-web libraries and frameworks
antlr4,70.9677419355,8790.6087719298,Software tools
sling,70.8695652174,4668.0619047619,Web libraries and frameworks
javassist,70,30566.2833333333,Software tools
bigbluebutton,70,19524.9052631579,Application
geotools,69.7132616487,15303.2446735395,Non-web libraries and frameworks
tomcat,69.6721311475,8318.2759259259,System Software
UniversalMediaServer,69.2607003891,18269.5888888889,Application
wicket,69.2307692308,2798.3833333333,Web libraries and frameworks
proctor,69.2307692308,17992.3474358974,Non-web libraries and frameworks
i2p.i2p,68.9781021898,90181.1166666667,System Software
selenium,68.1818181818,3620.0616666667,Non-web libraries and frameworks
WorldEdit,68.0722891566,1118.9111111111,Application
browsermob-proxy,68,113176.433333333,Software tools
liferay-plugins,66.6666666667,3826.3983333333,Application
PayPal-Java-SDK,66.6666666667,13766.2780701754,Non-web libraries and frameworks
vraptor,66.6666666667,1205.5743589744,Web libraries and frameworks
sshj,66.6666666667,938.0583333333,Non-web libraries and frameworks
capsule,66.6666666667,5862.0208333333,Software tools
picard,66.6666666667,1679.4523809524,System Software
gs-core,66.6666666667,1087.9333333333,Non-web libraries and frameworks
slice,66.6666666667,1252.6388888889,Non-web libraries and frameworks
cube-sdk,66.6666666667,817.4611111111,Non-web libraries and frameworks
Minecraft-Server-Mod,66.6666666667,1201.5486111111,System Software
btrace,66.6666666667,2894.875,System Software
AntennaPod,66.6666666667,13258.0507246377,Application
mycollab,66.6666666667,9472.6166666667,Non-web libraries and frameworks
elasticsearch-analysis-icu,66.6666666667,668.0238095238,Application
ImageViewEx,66.6666666667,294.4,Non-web libraries and frameworks
ormlite-android,66.6666666667,2791.05,Non-web libraries and frameworks
jmxtrans,66.6666666667,1282.8972222222,Application
transdroid,66.6666666667,1396.3397435898,Application
spring-social-facebook,66.6666666667,13665.9225490196,Non-web libraries and frameworks
structr,66.6666666667,7854.4833333333,Non-web libraries and frameworks
tika,65.2173913043,11039,Non-web libraries and frameworks
gridgain,65.1376146789,21678.2133333333,Non-web libraries and frameworks
incubator-brooklyn,65.1162790698,5092.3273049645,System Software
spring-roo,64.9122807018,13532.1236111111,Non-web libraries and frameworks
aws-sdk-java,64.8648648649,12925.4705479452,Non-web libraries and frameworks
ceylon-compiler,64.7058823529,2706.5761904762,System Software
eureka,64.2857142857,11596.3037037037,Software tools
erlide,64.2857142857,3959.3444444445,Software tools
optiq,64.2857142857,16453.3454545455,System Software
soapui,63.6363636364,11521.4570175439,Non-web libraries and frameworks
xtreemfs,63.6363636364,22658.8055555556,System Software
hbase,63.612565445,66505.075,System Software
voltdb,62.8048780488,5488.3482993197,Software tools
Multiverse-Core,62.7906976744,9805.0626984127,Non-web libraries and frameworks
wro4j,62.5,1293.1612612613,Web libraries and frameworks
rest-driver,62.5,36551.7083333333,Non-web libraries and frameworks
bytecode-viewer,62.0689655172,36811.3296296296,Software tools
cas,61.9047619048,23808.3140350877,Web libraries and frameworks
wonder,61.801242236,5298.2873563218,Non-web libraries and frameworks
selenide,61.5384615385,2978.2861111111,Non-web libraries and frameworks
XChange,61.5384615385,7493.0452380952,Non-web libraries and frameworks
pig,61.4864864865,3441.6222222222,Software tools
WorldGuard,61.1111111111,6200.9041666667,Application
accumulo,60.7407407407,47685.462962963,System Software
jmonkeyengine,60.396039604,5986.3642857143,Software tools
jdom,60,2163.15,Non-web libraries and frameworks
github-api,60,2850.5705128205,Non-web libraries and frameworks
concourse,60,2838.1357142857,System Software
jzmq,60,672.2935483871,Software tools
RichTextFX,60,9130.9,Non-web libraries and frameworks
nutch,60,9598.1333333333,Application
sqlite-jdbc,60,8177.6371794872,Non-web libraries and frameworks
stratosphere,59.5744680851,3452.1353658537,Non-web libraries and frameworks
pad,59.0909090909,22986.1859649123,Software tools
mondrian,59.0909090909,3656.8492063492,Application
osmosis,58.5365853659,1784.4543478261,System Software
fab,58.3333333333,2236.5444444445,Non-web libraries and frameworks
testng,58.064516129,2285.1190476191,Non-web libraries and frameworks
effectivejava,57.5,4912.4888888889,Software tools
rest.li,57.4468085106,5190.2454545455,Non-web libraries and frameworks
BoofCV,57.1428571429,31712.5166666667,Non-web libraries and frameworks
elasticsearch,56.880733945,55387.7936666667,Software tools
sonarqube,56.204379562,5576.8380952381,Application
lenskit,55.7692307692,2484.2759259259,Application
ccnx,55.5555555556,12179.6907407407,Non-web libraries and frameworks
modeshape,54.5454545455,3494.3463768116,System Software
zeno,54.5454545455,1737.2166666667,Non-web libraries and frameworks
geppetto,54.5454545455,4147.9648148148,Software tools
OpenAtlas,54.5454545455,56081.1222222222,System Software
ofbiz,54.0983606557,23411.1192307692,Web libraries and frameworks
camel,54.0856031128,13028.5166666667,Non-web libraries and frameworks
kite,53.8461538462,2153.4241935484,Non-web libraries and frameworks
log4j,52.7472527473,12575.5583333333,Non-web libraries and frameworks
itextpdf,52.2222222222,9782.3,Non-web libraries and frameworks
struts,51.8518518519,7386.480952381,Web libraries and frameworks
activemq,51.6129032258,39109.5583333333,Application
griffon,51.5151515152,1550.8222222222,Non-web libraries and frameworks
bonecp,51.3513513514,31785.0354166667,Non-web libraries and frameworks
jena,50.4807692308,8390.403030303,Non-web libraries and frameworks
jbehave-core,50,8012.7182539683,Non-web libraries and frameworks
Pydev,50,5737.4565217391,Application
mixpanel-android,50,1983.3785714286,Non-web libraries and frameworks
Lealone,50,3801.4833333333,Application
config,50,1276.2012820513,Non-web libraries and frameworks
twilio-java,50,8523.3666666667,Non-web libraries and frameworks
thucydides,50,1498.9104938272,Software tools
orbit,50,1055.5439393939,Non-web libraries and frameworks
HugeCollections,50,16873.4484848485,Non-web libraries and frameworks
errai,50,2266.7811965812,Web libraries and frameworks
idea-php-laravel-plugin,50,274.1833333333,Web libraries and frameworks
signpost,50,871.1333333333,Non-web libraries and frameworks
datacube,50,567.7791666667,System Software
hbc,50,492.2479166667,Non-web libraries and frameworks
stream-lib,50,819.3405797101,Non-web libraries and frameworks
android-maps-utils,50,2674.5086956522,Non-web libraries and frameworks
wigle-wifi-wardriving,50,3918.1023809524,Application
platform_packages_apps_contacts,50,3888.0322580645,Non-web libraries and frameworks
brut.apktool,50,1754.4291666667,Application
nodeclipse-1,50,2276.45,Application
GeoIP2-java,50,3156.5,Non-web libraries and frameworks
analytics-android,50,500.6066666667,Non-web libraries and frameworks
nginx-clojure,50,9099.3,Non-web libraries and frameworks
Kylin,50,9492.1826086957,Software tools
incubator-kylin,50,28475.1866666667,Software tools
BroadleafCommerce,49.2204899777,3664.4686046512,Non-web libraries and frameworks
avro,49.1803278689,45127.2833333333,Software tools
isis,48.3050847458,20189.7114035088,Non-web libraries and frameworks
zanata-server,47.619047619,4743.5380952381,Application
flume-release,47.0588235294,3177.55,Software tools
hydra,47.0588235294,1216.8303030303,Software tools
java-object-diff,46.6666666667,1219.1863636364,Non-web libraries and frameworks
mct,46.6666666667,6053.5294871795,Application
hibernate-search,46.4285714286,2010.0796296296,Software tools
denominator,46.1538461538,3859.2611111111,Software tools
jackson-databind,45.652173913,1789.180952381,Non-web libraries and frameworks
DataflowJavaSDK,45.4545454545,1114.3491869919,Software tools
HotswapAgent,45.4545454545,33135.3291666667,Software tools
mule,44.8275862069,6661.0725490196,Application
FML,44.8275862069,24567.6724358974,Application
autopsy,44.7368421053,13041.1423076923,Application
marytts,44.6808510638,8140.312745098,Non-web libraries and frameworks
mockito,44,1861.9464285714,Non-web libraries and frameworks
aws-sdk-android,43.8679245283,18209.65,Non-web libraries and frameworks
DSpace,43.6781609195,7018.4857723577,System Software
android-database-sqlcipher,42.8571428571,997.2166666667,Non-web libraries and frameworks
gerrit-trigger-plugin,42.8571428571,9777.1898550725,Application
owlapi,42.7536231884,12783.6055555556,Non-web libraries and frameworks
fred,42.6470588235,4455.3237288136,Application
spring-webflow,42.1052631579,46081.1151515152,Software tools
lucene-solr,41.8803418803,9745.1133333333,Non-web libraries and frameworks
platform_packages_apps_email,40.4761904762,1931.967816092,Non-web libraries and frameworks
spring-data-redis,40,9551.3606060606,Non-web libraries and frameworks
Chronicle-Map,40,29912.1481481481,Application
bndtools,40,3667.8083333333,Application
GeoGig,40,9959.875,Application
material-dialogs,40,568.1092592593,Non-web libraries and frameworks
sql2o,40,3195.6833333333,Non-web libraries and frameworks
weave,40,3440.7555555556,Software tools
SIREn,40,1082.3666666667,Non-web libraries and frameworks
spring-data-solr,40,1818.8439393939,Non-web libraries and frameworks
OpenGrok,40,1276.6451612903,Software tools
gwt-maven-plugin,40,15089.0245614035,Application
pentaho-platform,39.6946564885,14320.4693693694,Non-web libraries and frameworks
jetty.project,39.603960396,13538.5666666667,Application
infinispan,39.4088669951,14133.7874531835,Software tools
camunda-bpm-platform,39.0977443609,7234.9071895425,Non-web libraries and frameworks
Mekanism,38.4615384615,1718.524137931,Application
workflow-plugin,38.0952380952,167197.604040404,Application
flink,37.6146788991,3190.0466666667,Non-web libraries and frameworks
google-http-java-client,37.5,5539.6958333333,Web libraries and frameworks
jbpm,37.5,27941.4827956989,Application
robovm,37.3349339736,18515.0583333333,Software tools
nd4j,37.3134328358,11285.496031746,Non-web libraries and frameworks
fixflow,36.3636363636,8930.7638888889,Software tools
closure-compiler,36.3636363636,3986.945,Software tools
astyanax,36.25,1680.1866666667,Web libraries and frameworks
spring-amqp,35.7142857143,37313.3180555556,Software tools
hadoop,35.3448275862,8590.7030612245,Software tools
openstack-java-sdk,35,3233.3916666667,Non-web libraries and frameworks
rabbitmq-java-client,33.3333333333,1265.9913043478,Web libraries and frameworks
AndroidCaldavSyncAdapater,33.3333333333,2512.15,Non-web libraries and frameworks
UpdateChecker,33.3333333333,508.0555555556,Non-web libraries and frameworks
governator,33.3333333333,683.6458333333,Web libraries and frameworks
TestFX,33.3333333333,3191.3685185185,Non-web libraries and frameworks
androidclient,33.3333333333,686.7846153846,Non-web libraries and frameworks
semantic-versioning,33.3333333333,702.0392156863,Software tools
infovore,33.3333333333,943.8,Non-web libraries and frameworks
ehcache3,33.3333333333,3674.8333333333,Non-web libraries and frameworks
dcm4che,33.3333333333,2983.0111111111,Application
hibernate-validator,33.3333333333,11095.7409090909,Non-web libraries and frameworks
Web-Karma,33.3333333333,2349.4760869565,Application
cascading,33.3333333333,7325.25,Non-web libraries and frameworks
fitnesse,33.3333333333,2190.7207207207,Non-web libraries and frameworks
PassAndroid,33.3333333333,7444.4666666667,Application
ioke,33.3333333333,8694.9166666667,System Software
SeriesGuide,33.3333333333,4074.7722222222,Application
cdk,32.6086956522,6306.2944444445,Non-web libraries and frameworks
parquet-mr,32.5842696629,1145.193627451,Software tools
artemis-odb,32.3529411765,877.0222222222,Non-web libraries and frameworks
ribbon,32.2580645161,747.6601449275,Web libraries and frameworks
asciidoctorj,32,41281.6174603175,Non-web libraries and frameworks
pentaho-kettle,30.8300395257,12100.6899543379,Software tools
Activiti,30.7692307692,17715.0225,Software tools
jOOQ,29.9145299145,11792.5571428571,Software tools
eucalyptus,29.3103448276,3306.9759259259,System Software
jcommon,29.0322580645,10511.7348484848,Non-web libraries and frameworks
g4studio,29.0322580645,17539.65,Application
ambari,28.5714285714,3428.0134146342,Software tools
blueprints,28.5714285714,1836.2734848485,Non-web libraries and frameworks
XposedBridge,28.5714285714,9227.5888888889,Non-web libraries and frameworks
aws-toolkit-eclipse,28.5714285714,36334.2888888889,Application
opensearchserver,28.5714285714,27304.6277777778,Application
CloudStack-archive,27.5862068966,9939.3722222222,System Software
JGroups,27.397260274,7751.1143939394,Non-web libraries and frameworks
unfolding,27.2727272727,4020.4015151515,Non-web libraries and frameworks
choco3,27.2727272727,3408.880952381,Non-web libraries and frameworks
