project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
Hystrix;git://github.com/Netflix/Hystrix.git;3821;521;52;651;33130;82;333;6;1243;151.585.365.854;1211;64.038.461.538;769.230.769.231;193;4000;0;0;517;1;0;3290;41;6;4000;42;6;142.857.142.857;1.05;1261.25;142.283.333.333.333;45.108.974.359;416.634.615.385;1243;289.748.711.538.462;Software tools
RxJava;git://github.com/ReactiveX/RxJava.git;6990;680;200;971;422381;130;469;4;1250;96.153.846.154;4252;2345;44.82;1202;8964;0;0;779;0;0;6983;4;4;8964;4;4;100;0.0446229362;2210.25;114.996.666.666.667;823.883.333.333;235.825;1250;30.131.775;System Software
j2objc;git://github.com/google/j2objc.git;3090;225;11;350;22755;12;2780;3;1079;899.166.666.667;2089;2.527.272.727.273;43.171.818.181.818;4626;47489;4;4;4045;12;12;38818;181;132;47489;197;148;751.269.035.533;0.4148329087;919;218.493.666.666.667;15.269.696.969.697;22.849.545.454.546;1079;448.607.181.818.182;System Software
gradle;git://github.com/gradle/gradle.git;2564;260;200;1055;597247;489;10745;20;2720;55.623.721.881;28315;53725;198605;1234;39721;0;0;6430;48;36;32057;22;11;39721;70;47;671.428.571.429;0.1762291987;1019.75;813.783.333.333.333;1.507.766.666.667;126165;2720;17079005;System Software
atmosphere;git://github.com/Atmosphere/atmosphere.git;2280;224;90;517;203969;126;445;13;1932;153.333.333.333;5624;49.444.444.444;700.333.333.333;856;6303;0;0;632;0;0;4815;15;8;6303;15;8;533.333.333.333;0.2379819134;777.75;64362;549.925.925.926;374.888.888.889;1932;134.328.462.962.963;System Software
orientdb;git://github.com/orientechnologies/orientdb.git;1947;253;82;414;184517;48;2266;28;1962;40875;10640;276.341.463.415;352.756.097.561;3160;28926;0;0;2382;7;3;23384;106;13;28926;113;16;141.592.920.354;0.3906520086;674;517.713.666.666.667;1.541.300.813.008;1.901.951.219.512;1962;104.138.798.373.984;System Software
kotlin;git://github.com/JetBrains/kotlin.git;1866;172;200;269;1489771;2953;34444;274;1747;0.5916017609;24846;172.22;265965;2737;53193;8;0;6983;7;2;43473;17;1;53193;32;3;93.75;0.0601582915;626.75;991.616.666.666.667;2.127.283.333.333;2.190.925;1747;203.934.475;System Software
cassandra;git://github.com/apache/cassandra.git;2227;344;200;970;242061;169;2231;9;2363;139.822.485.207;17938;11155;175.6;4088;35120;43;2;3488;6;3;27544;58;5;35120;107;10;93.457.943.925;0.3046697039;935.25;497.756.666.666.667;1.289.183.333.333;933.775;2363;106.592.425;System Software
titan;git://github.com/thinkaurelius/titan.git;2921;297;28;557;112200;22;2007;32;1165;529.545.454.545;3830;716.785.714.286;3.854.285.714.286;979;10792;1;0;1238;1;1;8575;9;0;10792;11;1;90.909.090.909;0.1019273536;950.75;131.083.333.333.333;1.617.023.809.524;2.285.535.714.286;1165;31.228.678.571.429;System Software
glide;git://github.com/bumptech/glide.git;4263;322;16;771;28007;18;526;7;974;541.111.111.111;1350;32875;3.219.375;399;5151;1;1;672;0;0;4080;7;7;5151;8;8;100;0.1553096486;1343;11513;1.236.041.666.667;17.740.625;974;28.262.020.833.333;Web libraries and frameworks
okhttp;git://github.com/square/okhttp.git;5607;494;73;1314;29101;23;287;97;1538;668.695.652.174;1986;39.315.068.493;680.273.972.603;375;4966;0;0;315;0;0;4276;4;3;4966;4;3;75;0.0805477245;1872;106.418.333.333.333;483.196.347.032;359.794.520.548;1538;219.825.264.840.183;Web libraries and frameworks
spring-framework;git://github.com/spring-projects/spring-framework.git;6276;1338;200;5371;306838;75;7451;10;2598;34.64;10915;37255;357.36;3344;71472;5;5;10234;50;44;57894;108;63;71472;163;112;687.116.564.417;0.2280613387;3296.25;268.543.333.333.333;198205;1.973.075;2598;66.288.191.666.667;Web libraries and frameworks
commons-io;git://github.com/apache/commons-io.git;135;33;15;91;8811;43;280;4;4953;1.151.860.465.116;1786;186.666.666.667;2.023.333.333.333;123;3035;6;6;244;4;4;2668;44;44;3035;54;54;100;17.792.421.746;68.5;11953;786.666.666.667;110.5;4953;34.327.333.333.333;Non-web libraries and frameworks
Koloboke;git://github.com/OpenHFT/Koloboke.git;347;62;3;43;32481;10;343;3;530;53;246;1.143.333.333.333;10.893.333.333.333;372;3268;0;0;375;16;16;2521;27;27;3268;43;43;100;13.157.894.737;113.75;26.363.333.333.333;4.022.222.222.222;6.018.333.333.333;530;8.568.277.777.778;Non-web libraries and frameworks
parseq;git://github.com/linkedin/parseq.git;321;73;12;78;4302;20;339;10;1064;53.2;263;28.25;1.890.833.333.333;71;2269;0;0;278;5;5;1920;27;27;2269;32;32;100;14.103.129.132;121;113.716.666.666.667;764.444.444.444;1.086.666.666.667;1064;25.483.555.555.556;Web libraries and frameworks
commons-lang;git://github.com/apache/commons-lang.git;297;66;29;208;31487;70;359;8;4772;681.714.285.714;4397;123.793.103.448;2.421.724.137.931;454;7023;11;11;492;0;0;6077;21;21;7023;32;32;100;0.4556457354;150;26.323.333.333.333;945.172.413.793;127.275.862.069;4772;15.552.252.873.563;Non-web libraries and frameworks
zt-exec;git://github.com/zeroturnaround/zt-exec.git;168;27;6;16;796;5;78;2;817;163.4;163;13;78;18;468;0;0;71;0;0;379;23;23;468;23;23;100;49.145.299.145;54.25;106.756.666.666.667;323.333.333.333;45.5;817;2324.95;Non-web libraries and frameworks
WeatherLib;git://github.com/survivingwithandroid/WeatherLib.git;505;42;7;154;31134;11;425;4;476;432.727.272.727;268;607.142.857.143;1.038.571.428.571;64;727;0;0;93;1;1;570;19;19;727;20;20;100;27.510.316.369;177;2201;571.904.761.905;822.857.142.857;476;5.986.952.380.952;Non-web libraries and frameworks
truth;git://github.com/google/truth.git;406;48;16;39;5769;19;107;6;1511;795.263.157.895;718;66.875;758.125;39;1213;0;0;117;0;0;1057;20;20;1213;20;20;100;16.488.046.167;127.25;500.976.666.666.667;328.333.333.333;41.25;1511;10362;Non-web libraries and frameworks
jogl;git://github.com/sgothel/jogl.git;143;24;30;87;146619;50;2461;21;4459;89.18;5899;820.333.333.333;8.903.666.666.667;8283;26711;0;0;1661;0;0;16767;20;20;26711;20;20;100;0.0748755194;71;133.903.333.333.333;3.341.333.333.333;486.2;4459;37.481.333.333.333;Non-web libraries and frameworks
StartupNews;git://github.com/halzhang/StartupNews.git;266;42;1;102;13140;8;320;3;793;99125;182;320;1115;84;1115;2;2;124;0;0;907;14;14;1115;16;16;100;14.349.775.785;102.75;104.190.133.333.333;4.786.666.666.667;717.5;793;208798.65;Non-web libraries and frameworks
chipKIT32-MAX;git://github.com/chipKIT32/chipKIT32-MAX.git;110;31;20;60;3123007;17;1582;16;3647;2.145.294.117.647;1988;79.1;412.35;2372;8247;4;4;308;0;0;5567;12;12;8247;16;16;100;0.194009943;55.25;5181;1.704.833.333.333;245725;3647;18.598.916.666.667;Software tools
raven-java;git://github.com/getsentry/raven-java.git;146;9;19;91;7102;16;194;7;1261;788.125;1393;102.105.263.158;496.842.105.263;72;944;0;0;121;0;0;751;15;15;944;15;15;100;15.889.830.508;66.25;1078;26.298.245.614;299.473.684.211;1261;492.299.122.807;Software tools
minimal-json;git://github.com/ralfstx/minimal-json.git;219;43;6;82;2198;5;92;3;879;175.8;157;153.333.333.333;1.631.666.666.667;22;979;3;3;59;0;0;898;12;12;979;15;15;100;15.321.756.895;87.5;150.846.666.666.667;61.5;89.25;879;32.403.833.333.333;Non-web libraries and frameworks
jgit;git://github.com/eclipse/jgit.git;267;46;90;145;42674;67;1601;25;2151;321.044.776.119;3926;177.888.888.889;1.863.777.777.778;2117;16774;0;0;1496;8;8;13161;7;7;16774;15;15;100;0.0894241087;137;14582;980.555.555.556;1.020.833.333.333;2151;34.140.277.777.778;Non-web libraries and frameworks
Android-Universal-Image-Loader;git://github.com/nostra13/Android-Universal-Image-Loader.git;9793;1265;35;4594;26820;28;152;4;1351;48.25;1012;43.428.571.429;308.285.714.286;147;1079;0;0;117;0;0;815;14;14;1079;14;14;100;1.297.497.683;3921.75;67208;233.904.761.905;175.857.142.857;1351;145.043.452.380.952;Non-web libraries and frameworks
quickblox-android-sdk;git://github.com/QuickBlox/quickblox-android-sdk.git;155;54;11;391;197106;13;3439;10;1013;779.230.769.231;663;3.126.363.636.364;2.088.181.818.182;438;2297;2;2;173;0;0;1686;12;12;2297;14;14;100;0.60949064;152.75;191.393.333.333.333;1.774.848.484.848;2.607.272.727.273;1013;41.486.590.909.091;Application
jgraphx;git://github.com/jgraph/jgraphx.git;225;60;2;164;54071;74;1050;2;1127;152.297.297.297;106;525;2861;1471;5722;0;0;334;0;0;3917;14;14;5722;14;14;100;0.2446696959;112.75;67.023.333.333.333;11.293.333.333.333;1693;1127;21.528.833.333.333;Non-web libraries and frameworks
adblockplusandroid;git://github.com/adblockplus/adblockplusandroid.git;109;20;7;57;13965;11;420;2;1228;1.116.363.636.364;360;60;1.964.285.714.286;239;1375;0;0;122;0;0;1014;12;12;1375;12;12;100;0.8727272727;48.25;26.203.333.333.333;878.095.238.095;1.282.142.857.143;1228;8.225.214.285.714;Application
Carbon;git://github.com/ZieIony/Carbon.git;861;55;3;109;6158;23;328;3;197;85.652.173.913;170;1.093.333.333.333;6.806.666.666.667;213;2042;0;0;172;3;3;1657;9;9;2042;12;12;100;0.5876591577;257;3869;2.643.333.333.333;395;197;9.964.666.666.667;Non-web libraries and frameworks
mcpatcher;git://github.com/pclewis/mcpatcher.git;188;32;2;19;9350;37;215;4;815;22.027.027.027;1508;107.5;1497.5;514;2995;0;0;324;0;0;2157;11;11;2995;11;11;100;0.367278798;60.25;183.496.666.666.667;5.356.666.666.667;802.5;815;41.126.166.666.667;Application
spring-batch;git://github.com/spring-projects/spring-batch.git;455;155;51;504;49515;68;2539;14;3053;448.970.588.235;4926;497.843.137.255;2.708.823.529.412;770;13815;0;0;1983;5;5;11062;6;6;13815;11;11;100;0.0796235975;291.25;65.616.666.666.667;1.238.888.888.889;1.603.333.333.333;3053;20.380.277.777.778;Non-web libraries and frameworks
overthere;git://github.com/xebialabs/overthere.git;102;28;16;35;5704;67;166;12;1642;245.074.626.866;862;10375;94;280;1504;0;0;143;5;5;1081;5;5;1504;10;10;100;0.664893617;45.25;20.496.666.666.667;40125;521.875;1642;7.658.458.333.333;Non-web libraries and frameworks
CrossBow;git://github.com/TwistedEquations/CrossBow.git;109;5;0;9;4418;23;227;2;15;0.652173913;18;0;0;117;1382;0;0;207;0;0;1058;8;8;1382;8;8;100;0.5788712012;30.75;15.413.333.333.333;0;0;15;#DIV/0!;Web libraries and frameworks
javaewah;git://github.com/lemire/javaewah.git;162;26;11;36;3155;63;87;2;1781;282.698.412.698;578;79.090.909.091;126;74;1386;0;0;87;0;0;1225;8;8;1386;8;8;100;0.5772005772;58.75;4216;48.303.030.303;669.545.454.545;1781;12.342.015.151.515;Non-web libraries and frameworks
zoie;git://github.com/senseidb/zoie.git;315;34;7;104;11078;13;184;10;1450;1.115.384.615.385;524;262.857.142.857;245;147;1715;0;0;174;0;0;1394;8;8;1715;8;8;100;0.4664723032;115;4326;927.619.047.619;1.356.428.571.429;1450;1.223.880.952.381;System Software
ideavim;git://github.com/JetBrains/ideavim.git;1291;115;21;201;10817;20;446;2;4437;221.85;1333;212.380.952.381;1.674.285.714.286;323;3516;0;0;675;0;0;2518;8;8;3516;8;8;100;0.2275312856;407;30.656.666.666.667;698.888.888.889;943.333.333.333;4437;16.147.777.777.778;Software tools
jcabi-aspects;git://github.com/jcabi/jcabi-aspects.git;138;12;16;54;5566;26;115;3;1177;452.692.307.692;658;71.875;24875;31;398;0;0;82;0;0;285;7;7;398;7;7;100;17.587.939.698;55;41.016.666.666.667;160.208.333.333;1.603.125;1177;107.314.375;Non-web libraries and frameworks
webmagic;git://github.com/code4craft/webmagic.git;1227;262;18;803;11434;13;473;7;722;555.384.615.385;682;262.777.777.778;782.777.777.778;73;1409;0;0;247;1;1;1089;6;6;1409;7;7;100;0.4968062456;577.5;42.396.666.666.667;408.518.518.519;522.777.777.778;722;11.264.592.592.593;Web libraries and frameworks
osmdroid;git://github.com/osmdroid/osmdroid.git;447;81;9;224;11033;9;277;19;2466;274;1225;307.777.777.778;2.331.111.111.111;323;2098;0;0;218;4;4;1557;2;2;2098;6;6;100;0.285986654;190.25;233.136.666.666.667;90.962.962.963;1.319.444.444.444;2466;52.385.648.148.148;Non-web libraries and frameworks
elephant-bird;git://github.com/twitter/elephant-bird.git;885;256;50;321;67413;31;430;17;1889;60.935.483.871;1305;8.6;52.72;196;2636;0;0;388;5;5;2052;1;1;2636;6;6;100;0.2276176024;378;16.163.333.333.333;371.066.666.667;30.66;1889;790.22;Non-web libraries and frameworks
nifty;git://github.com/facebook/nifty.git;354;97;9;115;2093;19;120;8;1195;628.947.368.421;236;133.333.333.333;2.942.222.222.222;82;2648;0;0;342;1;1;2224;5;5;2648;6;6;100;0.2265861027;143.75;47.696.666.666.667;1.055.185.185.185;1.537.777.777.778;1195;12.735.425.925.926;Non-web libraries and frameworks
bobo;git://github.com/senseidb/bobo.git;141;21;14;96;11419;11;242;13;1539;1.399.090.909.091;747;172.857.142.857;2.171.428.571.429;291;3040;0;0;354;0;0;2395;6;6;3040;6;6;100;0.1973684211;68;53.503.333.333.333;828.095.238.095;1.172.142.857.143;1539;14.314.714.285.714;System Software
st-js;git://github.com/st-js/st-js.git;106;23;13;29;12110;20;901;5;1520;76;828;693.076.923.077;3.464.615.384.615;188;4504;0;0;901;0;0;3415;6;6;4504;6;6;100;0.1332149201;42.75;143.273.333.333.333;1.429.230.769.231;2.078.846.153.846;1520;32.481.782.051.282;Software tools
