project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
proctor;git://github.com/indeedeng/proctor.git;105;34;13;23;1783;28;190;5;581;20.75;234;146.153.846.154;937.692.307.692;66;1219;5;3;153;0;0;1000;8;6;1219;13;9;692.307.692.308;10.664.479.081;43.75;892.423.333.333.333;404.615.384.615;541.923.076.923;581;179.923.474.358.974;Non-web libraries and frameworks
i2p.i2p;git://github.com/i2p/i2p.i2p.git;194;52;5;54;263343;143;3165;2;4133;289.020.979.021;11171;633;3900.2;2239;19501;8;5;1867;13;12;15395;253;172;19501;274;189;689.781.021.898;1.405.056.151;76.25;442917;15.127.333.333.333;2266.6;4133;901.811.166.666.667;System Software
selenium;git://github.com/SeleniumHQ/selenium.git;1560;334;200;1021;1303567;74;5683;4;3940;532.432.432.432;17863;28415;59055;791;11811;6;3;1563;9;5;9457;7;7;11811;22;15;681.818.181.818;0.1862670392;778.75;13242;958.233.333.333;43735;3940;36.200.616.666.667;Non-web libraries and frameworks
citrus;git://github.com/webx/citrus.git;386;104;0;224;25476;24;2439;5;1328;553.333.333.333;427;#DIV/0!;#DIV/0!;1110;17873;0;0;2448;0;0;14315;22;15;17873;22;15;681.818.181.818;0.1230906955;178.5;12247;#DIV/0!;#DIV/0!;1328;#DIV/0!;Web libraries and frameworks
WorldEdit;git://github.com/sk89q/WorldEdit.git;723;83;60;415;18129;103;739;20;1767;171.553.398.058;2207;123.166.666.667;102.85;655;6171;5;0;707;46;33;4809;115;80;6171;166;113;680.722.891.566;26.900.016.205;320.25;33.913.333.333.333;583.888.888.889;575.833.333.333;1767;11.189.111.111.111;Application
browsermob-proxy;git://github.com/webmetrics/browsermob-proxy.git;183;31;18;205;3517;7;486;3;1388;1.982.857.142.857;197;27;416.5;1333;7497;0;0;566;4;3;5598;46;31;7497;50;34;68;0.66693344;109.25;564.009.333.333.333;1.538.333.333.333;221.75;1388;113.176.433.333.333;Software tools
liferay-plugins;git://github.com/liferay/liferay-plugins.git;453;124;300;1740;1676180;27;8351;4;2977;1.102.592.592.593;21346;278.366.666.667;1.402.533.333.333;4078;42076;0;0;2054;53;53;35944;301;183;42076;354;236;666.666.666.667;0.8413347276;654.25;152.606.666.666.667;156.03;84045;2977;38.263.983.333.333;Application
PayPal-Java-SDK;git://github.com/paypal/PayPal-Java-SDK.git;122;59;19;167;3362;27;344;4;897;332.222.222.222;330;181.052.631.579;1.622.631.578.947;285;3083;0;0;282;0;0;2516;24;16;3083;24;16;666.666.666.667;0.7784625365;91.75;67686;664.561.403.509;901.842.105.263;897;137.662.780.701.754;Non-web libraries and frameworks
vraptor;git://github.com/caelum/vraptor.git;376;63;65;210;199173;14;802;7;2337;1.669.285.714.286;3417;123.384.615.385;737.076.923.077;160;4791;0;0;897;1;0;3734;11;8;4791;12;8;666.666.666.667;0.2504696306;178.5;3419;503.487.179.487;430.230.769.231;2337;12.055.743.589.744;Web libraries and frameworks
sshj;git://github.com/hierynomus/sshj.git;522;64;20;153;5204;18;262;5;1998;111;538;13.1;115.55;166;2311;0;0;299;0;0;1846;9;6;2311;9;6;666.666.666.667;0.3894418001;189.75;23.886.666.666.667;49.55;64325;1998;9.380.583.333.333;Non-web libraries and frameworks
capsule;git://github.com/puniverse/capsule.git;593;33;8;29;4807;16;48;5;487;304.375;974;6;103625;39;829;0;0;27;0;0;763;9;6;829;9;6;666.666.666.667;10.856.453.559;165.75;285.633.333.333.333;392.083.333.333;548.125;487;58.620.208.333.333;Software tools
picard;git://github.com/broadinstitute/picard.git;102;93;35;74;82418;133;2443;25;2288;172.030.075.188;1837;69.8;1.517.142.857.143;1689;5310;1;0;580;0;0;3041;5;4;5310;6;4;666.666.666.667;0.1129943503;76;5837;855.047.619.048;1.107.571.428.571;2288;16.794.523.809.524;System Software
gs-core;git://github.com/graphstream/gs-core.git;118;15;12;33;11725;6;476;6;2331;388.5;714;396.666.666.667;5.693.333.333.333;1511;6832;0;0;428;1;1;4893;5;3;6832;6;4;666.666.666.667;0.0878220141;44.5;25.526.666.666.667;207;304.5;2331;10.879.333.333.333;Non-web libraries and frameworks
slice;git://github.com/airlift/slice.git;146;30;9;30;766;15;60;2;865;576.666.666.667;117;66.666.666.667;966.666.666.667;17;870;0;0;64;1;0;789;2;2;870;3;2;666.666.666.667;0.3448275862;53.75;52.553.333.333.333;374.444.444.444;516.666.666.667;865;12.526.388.888.889;Non-web libraries and frameworks
cube-sdk;git://github.com/etao-open-source/cube-sdk.git;550;67;3;297;14695;3;201;6;543;181;267;67;5.766.666.666.667;167;1730;0;0;174;0;0;1389;3;2;1730;3;2;666.666.666.667;0.1734104046;229.25;27.776.666.666.667;2.155.555.555.556;3.218.333.333.333;543;8.174.611.111.111;Non-web libraries and frameworks
Minecraft-Server-Mod;git://github.com/traitor/Minecraft-Server-Mod.git;156;7;24;81;6470;5;133;4;211;42.2;466;55.416.666.667;79.75;305;1914;0;0;106;0;0;1503;3;2;1914;3;2;666.666.666.667;0.1567398119;67;56.506.666.666.667;364.305.555.556;426.458.333.333;211;12.015.486.111.111;System Software
btrace;git://github.com/jbachorik/btrace.git;104;23;4;32;14631;25;407;9;2255;90.2;649;101.75;877;234;3508;0;0;396;1;0;2878;2;2;3508;3;2;666.666.666.667;0.0855188141;40.75;113.616.666.666.667;3.275.833.333.333;489375;2255;2894875;System Software
AntennaPod;git://github.com/AntennaPod/AntennaPod.git;863;100;46;306;29746;57;831;12;1336;234.385.964.912;2330;180.652.173.913;1.077.391.304.348;693;4956;0;0;416;0;0;3847;3;2;4956;3;2;666.666.666.667;0.0605326877;328.75;645.053.333.333.333;57.268.115.942;62.902.173.913;1336;132.580.507.246.377;Application
mycollab;git://github.com/MyCollab/mycollab.git;176;33;1;105;184484;28;4076;3;567;20.25;489;4076;36864;1479;36864;0;0;3130;0;0;32255;3;2;36864;3;2;666.666.666.667;0.0081380208;78.75;126.003.333.333.333;13647;20470;567;94.726.166.666.667;Non-web libraries and frameworks
elasticsearch-analysis-icu;git://github.com/elastic/elasticsearch-analysis-icu.git;102;22;14;23;911;21;26;11;1320;628.571.428.571;141;18.571.428.571;67.857.142.857;7;95;0;0;19;3;2;69;0;0;95;3;2;666.666.666.667;31.578.947.368;40.25;1968;75.476.190.476;43.214.285.714;1320;6.680.238.095.238;Application
ImageViewEx;git://github.com/frapontillo/ImageViewEx.git;219;22;2;67;5725;8;84;14;705;88125;81;42;101;14;202;0;0;21;1;0;167;2;2;202;3;2;666.666.666.667;14.851.485.149;77.5;5.696.666.666.667;483.333.333.333;71.5;705;294.4;Non-web libraries and frameworks
ormlite-android;git://github.com/j256/ormlite-android.git;592;66;5;222;1472;53;35;3;1696;32;414;7;61.4;20;307;0;0;33;0;0;254;3;2;307;3;2;666.666.666.667;0.9771986971;221.25;119.793.333.333.333;244.666.666.667;34.2;1696;2791.05;Non-web libraries and frameworks
jmxtrans;git://github.com/jmxtrans/jmxtrans.git;727;74;60;243;35442;13;189;7;1710;1.315.384.615.385;797;3.15;182.333.333.333;113;1094;0;0;147;0;0;834;3;2;1094;3;2;666.666.666.667;0.2742230347;276;43.906.666.666.667;271.277.777.778;106.916.666.667;1710;12.828.972.222.222;Application
transdroid;git://github.com/erickok/transdroid.git;277;35;13;80;11586;18;492;4;1287;71.5;399;378.461.538.462;1.906.923.076.923;385;2479;2;1;261;0;0;1833;1;1;2479;3;2;666.666.666.667;0.1210165389;101.25;53.986.666.666.667;805.128.205.128;1.142.692.307.692;1287;13.963.397.435.898;Application
spring-social-facebook;git://github.com/spring-projects/spring-social-facebook.git;148;68;17;150;13297;21;420;20;1829;870.952.380.952;1209;247.058.823.529;1.575.294.117.647;631;2678;0;0;277;0;0;1770;3;2;2678;3;2;666.666.666.667;0.1120238984;95.75;662.473.333.333.333;664.117.647.059;911.176.470.588;1829;136.659.225.490.196;Non-web libraries and frameworks
structr;git://github.com/structr/structr.git;298;38;15;70;194106;21;1958;37;1662;791.428.571.429;6048;1.305.333.333.333;6.940.666.666.667;1450;10411;0;0;1168;2;1;7793;1;1;10411;3;2;666.666.666.667;0.0288156757;105.25;36813;2.798.666.666.667;412.3;1662;78.544.833.333.333;Non-web libraries and frameworks
tika;git://github.com/apache/tika.git;223;36;12;134;98542;34;1486;20;3064;901.176.470.588;2705;1.238.333.333.333;6.146.666.666.667;1026;7376;59;28;917;3;3;5433;30;29;7376;92;60;652.173.913.043;12.472.885.033;101.25;514.103.333.333.333;2.501.666.666.667;369.25;3064;11039;Non-web libraries and frameworks
gridgain;git://github.com/gridgain/gridgain.git;244;60;25;69;142185;23;4670;3;547;237.826.086.957;6789;186.8;2119.48;1829;52987;15;11;5254;6;2;45904;88;58;52987;109;71;651.376.146.789;0.2057108347;99.5;105.814.333.333.333;7.770.933.333.333;1153.14;547;216.782.133.333.333;Non-web libraries and frameworks
incubator-brooklyn;git://github.com/apache/incubator-brooklyn.git;101;13;47;82;260899;3;3557;30;1532;5.106.666.666.667;11886;756.808.510.638;6.753.829.787.234;4754;31743;62;29;3230;48;32;23759;492;331;31743;602;392;651.162.790.698;18.964.811.139;60.75;232.273.333.333.333;2.660.212.765.957;3.755.319.148.936;1532;50.923.273.049.645;System Software
spring-roo;git://github.com/spring-projects/spring-roo.git;412;106;24;201;36649;32;1290;5;2289;7.153.125;5061;53.75;3.172.916.666.667;615;7615;1;1;876;1;0;6124;55;36;7615;57;37;649.122.807.018;0.7485226527;185.75;648.686.666.666.667;1.316.805.555.556;1.855.208.333.333;2289;135.321.236.111.111;Non-web libraries and frameworks
aws-sdk-java;git://github.com/aws/aws-sdk-java.git;1055;190;73;693;176055;126;10936;9;1977;156.904.761.905;461;1.498.082.191.781;13.773.150.684.932;774;100544;16;12;10425;165;93;89345;115;87;100544;296;192;648.648.648.649;0.2943984723;502.75;608.506.666.666.667;5.333.744.292.237;7.635.616.438.356;1977;129.254.705.479.452;Non-web libraries and frameworks
ceylon-compiler;git://github.com/ceylon/ceylon-compiler.git;144;27;28;42;73347;13;8661;15;2037;1.566.923.076.923;11503;3.093.214.285.714;5.790.357.142.857;2951;16213;9;4;1609;62;54;11653;31;8;16213;102;66;647.058.823.529;0.6291247764;60.25;10686;3.054.523.809.524;4.441.785.714.286;2037;27.065.761.904.762;System Software
eureka;git://github.com/Netflix/eureka.git;1150;289;36;262;15631;140;214;6;5332;380.857.142.857;913;59.444.444.444;607.777.777.778;213;2188;0;0;226;2;2;1749;26;16;2188;28;18;642.857.142.857;12.797.074.954;434.25;521.476.666.666.667;342.407.407.407;333.611.111.111;5332;115.963.037.037.037;Software tools
erlide;git://github.com/erlide/erlide.git;164;27;12;48;151225;88;3030;3;3146;35.75;7174;252.5;11.706.666.666.667;1678;14048;0;0;1477;1;1;10893;13;8;14048;14;9;642.857.142.857;0.0996583144;62.75;15398;4.783.888.888.889;7.115.833.333.333;3146;39.593.444.444.445;Software tools
optiq;git://github.com/julianhyde/optiq.git;214;43;22;79;31113;22;1033;30;909;413.181.818.182;839;469.545.454.545;7.353.181.818.182;1702;16177;1;0;1633;0;0;12842;13;9;16177;14;9;642.857.142.857;0.0865426222;89.5;80609;2.680.909.090.909;3.911.363.636.364;909;164.533.454.545.455;System Software
soapui;git://github.com/SmartBear/soapui.git;149;70;38;142;222688;18;2962;105;2611;1.450.555.555.556;6742;779.473.684.211;7.378.947.368.421;2669;28040;1;0;3163;8;1;22208;35;27;28040;44;28;636.363.636.364;0.1569186876;99.75;54204;2.846.140.350.877;4.079.210.526.316;2611;115.214.570.175.439;Non-web libraries and frameworks
xtreemfs;git://github.com/xtreemfs/xtreemfs.git;101;30;18;23;132191;20;2381;31;2447;122.35;4072;1.322.777.777.778;12.965.555.555.556;1664;23338;0;0;1341;2;2;20333;9;5;23338;11;7;636.363.636.364;0.0471334305;43;109.607.333.333.333;4.822.777.777.778;7.144.166.666.667;2447;226.588.055.555.556;System Software
hbase;git://github.com/apache/hbase.git;368;136;60;371;302173;375;3311;46;3062;81.653.333.333;10864;551.833.333.333;14.727.666.666.667;7267;88366;15;5;6235;18;17;74864;349;221;88366;382;243;63.612.565.445;0.4322929634;233.75;327.936.333.333.333;5.293.166.666.667;763975;3062;66505075;System Software
voltdb;git://github.com/VoltDB/voltdb.git;615;113;49;181;887165;355;8278;136;2011;56.647.887.324;17931;1.689.387.755.102;11.425.510.204.082;12973;55985;20;20;4268;7;5;38744;137;78;55985;164;103;628.048.780.488;0.2929356078;239.5;24082;4.534.965.986.395;6.557.448.979.592;2011;54.883.482.993.197;Software tools
Multiverse-Core;git://github.com/Multiverse/Multiverse-Core.git;210;27;21;121;16088;5;173;20;1603;320.6;1013;82.380.952.381;692.380.952.381;43;1454;0;0;156;8;7;1255;35;20;1454;43;27;627.906.976.744;29.573.590.096;94.75;47256;328.253.968.254;387.380.952.381;1603;98.050.626.984.127;Non-web libraries and frameworks
wro4j;git://github.com/alexo/wro4j.git;463;46;37;136;138599;46;1715;55;2218;482.173.913.043;3617;463.513.513.514;1.432.162.162.162;167;5299;1;0;590;1;1;4542;6;4;5299;8;5;62.5;0.1509718815;170.5;3907;755.225.225.225;947.837.837.838;2218;12.931.612.612.613;Web libraries and frameworks
rest-driver;git://github.com/rest-driver/rest-driver.git;111;13;12;33;6246;54;176;3;1489;275.740.740.741;757;146.666.666.667;960.833.333.333;49;1153;0;0;163;2;2;941;6;3;1153;8;5;62.5;0.6938421509;42.25;181131;409.166.666.667;55375;1489;365.517.083.333.333;Non-web libraries and frameworks
bytecode-viewer;git://github.com/Konloch/bytecode-viewer.git;737;85;9;115;541801;35;439;2;308;8.8;174;487.777.777.778;661;1371;5949;16;16;454;7;6;4124;35;14;5949;58;36;620.689.655.172;0.9749537737;236.5;182.917.666.666.667;2.395.925.925.926;3.548.888.888.889;308;368.113.296.296.296;Software tools
cas;git://github.com/Jasig/cas.git;814;132;57;621;541429;92;1375;14;1855;201.630.434.783;3468;241.228.070.175;865.614.035.088;257;4934;0;0;759;28;18;3918;35;21;4934;63;39;619.047.619.048;12.768.544.791;406;116.669.333.333.333;558.947.368.421;553.421.052.632;1855;238.083.140.350.877;Web libraries and frameworks
wonder;git://github.com/wocommunity/wonder.git;181;60;58;143;331666;63;13408;5;4947;785.238.095.238;13077;2.311.724.137.931;7.615.517.241.379;6845;44170;36;3;4335;51;37;32990;235;159;44170;322;199;61.801.242.236;0.7290015848;110.5;205.873.333.333.333;3.502.413.793.103;4.963.620.689.655;4947;52.982.873.563.218;Non-web libraries and frameworks
selenide;git://github.com/codeborne/selenide.git;174;47;12;60;17418;23;174;7;1385;602.173.913.043;1146;14.5;1.069.166.666.667;123;1283;2;2;139;1;0;1021;23;14;1283;26;16;615.384.615.385;20.265.003.897;73.25;13328;444.722.222.222;607.083.333.333;1385;29.782.861.111.111;Non-web libraries and frameworks
XChange;git://github.com/timmolter/XChange.git;474;80;70;310;35871;14;2830;20;1295;92.5;3246;404.285.714.286;2.076.428.571.429;751;14535;0;0;2363;1;1;11421;12;7;14535;13;8;615.384.615.385;0.0894392845;233.5;357.066.666.666.667;1.060.238.095.238;1.240.357.142.857;1295;74.930.452.380.952;Non-web libraries and frameworks
pig;git://github.com/apache/pig.git;367;65;6;310;90323;55;2262;26;2357;428.545.454.545;2781;377;37.123.333.333.333;2111;22274;26;11;2467;51;49;17696;71;31;22274;148;91;614.864.864.865;0.6644518272;187;112.543.333.333.333;13.651.111.111.111;20.446.666.666.667;2357;34.416.222.222.222;Software tools
WorldGuard;git://github.com/sk89q/WorldGuard.git;323;47;40;294;11149;68;340;16;1738;255.588.235.294;1491;8.5;71325;270;2853;1;1;347;3;2;2236;32;19;2853;36;22;611.111.111.111;1.261.829.653;176;290.106.666.666.667;399.416.666.667;399.125;1738;62.009.041.666.667;Application
accumulo;git://github.com/apache/accumulo.git;171;40;54;96;81697;18;2482;7;1416;786.666.666.667;7579;45.962.962.963;8.713.148.148.148;3790;47051;1;1;5218;62;48;38043;207;115;47051;270;164;607.407.407.407;0.5738454018;90.25;236.138.666.666.667;3.237.592.592.593;4.586.388.888.889;1416;47.685.462.962.963;System Software
jmonkeyengine;git://github.com/jMonkeyEngine/jmonkeyengine.git;678;149;42;212;657130;4;4235;4;1621;405.25;5160;1.008.333.333.333;6.994.523.809.524;4835;29377;8;8;2340;28;14;22202;65;39;29377;101;61;60.396.039.604;0.3438063791;270.25;273.596.666.666.667;2.807.619.047.619;4.001.428.571.429;1621;59.863.642.857.143;Software tools
jdom;git://github.com/hunterhacker/jdom.git;154;23;5;53;52267;14;435;7;5376;384;1622;87;1050.6;206;5253;0;0;393;9;5;4654;26;16;5253;35;21;60;0.6662859318;58.75;44.313.333.333.333;3.808.666.666.667;568.8;5376;2163.15;Non-web libraries and frameworks
github-api;git://github.com/kohsuke/github-api.git;200;33;52;162;7943;70;98;3;1945;277.857.142.857;779;18.846.153.846;290.384.615.385;214;1510;0;0;122;4;4;1174;26;14;1510;30;18;60;19.867.549.669;111.75;12153;27.641.025.641;154.615.384.615;1945;28.505.705.128.205;Non-web libraries and frameworks
concourse;git://github.com/cinchapi/concourse.git;100;60;14;144;34193;16;756;14;972;60.75;2488;54;22.162.142.857.143;2387;31027;0;0;2754;0;0;25886;10;6;31027;10;6;60;0.0322299932;79.5;112.426.666.666.667;7.614.047.619.048;11.351.071.428.572;972;28.381.357.142.857;System Software
jzmq;git://github.com/zeromq/jzmq.git;416;55;62;284;2618;10;83;3;1901;190.1;574;13.387.096.774;93.225.806.452;58;578;4;2;49;0;0;471;6;4;578;10;6;60;17.301.038.062;204.25;12.266.666.666.667;242.204.301.075;53.306.451.613;1901;6.722.935.483.871;Software tools
RichTextFX;git://github.com/TomasMikula/RichTextFX.git;109;26;5;34;3026;18;76;2;685;380.555.555.556;367;15.2;160.4;26;802;0;0;70;0;0;706;5;3;802;5;3;60;0.6234413965;43.5;44778;60.2;87.8;685;9130.9;Non-web libraries and frameworks
nutch;git://github.com/apache/nutch.git;398;90;5;333;132682;41;850;23;3859;941.219.512.195;2009;170;813;685;4065;2;0;506;2;2;2874;1;1;4065;5;3;60;0.12300123;206.5;431.043.333.333.333;3.293.333.333.333;491.5;3859;95.981.333.333.333;Application
sqlite-jdbc;git://github.com/xerial/sqlite-jdbc.git;113;21;13;34;125131;16;117;18;2850;178125;680;9;1.349.230.769.231;190;1754;0;0;101;0;0;1463;5;3;1754;5;3;60;0.2850627138;45.25;378.686.666.666.667;523.076.923.077;719.615.384.615;2850;81.776.371.794.872;Non-web libraries and frameworks
stratosphere;git://github.com/stratosphere/stratosphere.git;186;37;41;87;109925;8;1927;16;1288;161;4521;47;416.512.195.122;1333;17077;15;0;2367;0;0;13377;32;28;17077;47;28;595.744.680.851;0.2752239855;87.75;15485;1.681.707.317.073;231.756.097.561;1288;34.521.353.658.537;Non-web libraries and frameworks
pad;git://github.com/ether/pad.git;989;48;38;187;28012;3;1366;5;1242;414;900;359.473.684.211;1.573.684.210.526;1215;5980;1;0;334;4;3;4431;83;49;5980;88;52;590.909.090.909;14.715.719.064;315.5;113.199.666.666.667;771.052.631.579;966.578.947.368;1242;229.861.859.649.123;Software tools
mondrian;git://github.com/pentaho/mondrian.git;300;113;42;273;332201;100;1418;47;4807;48.07;3655;337.619.047.619;4.833.333.333.333;1856;20300;1;1;1637;6;5;16807;37;20;20300;44;26;590.909.090.909;0.2167487685;182;128.503.333.333.333;1.863.650.793.651;2.585.476.190.476;4807;36.568.492.063.492;Application
osmosis;git://github.com/openstreetmap/osmosis.git;172;21;23;65;17238;38;1013;2;3024;795.789.473.684;1623;440.434.782.609;2.607.826.086.957;175;5998;0;0;846;5;5;4977;36;19;5998;41;24;585.365.853.659;0.6835611871;70.25;55.663.333.333.333;1.092.753.623.188;1.524.130.434.783;3024;17.844.543.478.261;System Software
fab;git://github.com/shell-software/fab.git;576;42;3;121;10607;7;94;2;135;192.857.142.857;81;313.333.333.333;873.333.333.333;13;262;0;0;23;1;0;226;11;7;262;12;7;583.333.333.333;45.801.526.718;185.5;107.623.333.333.333;405.555.555.556;593.333.333.333;135;22.365.444.444.445;Non-web libraries and frameworks
testng;git://github.com/cbeust/testng.git;498;97;70;362;30534;51;1491;2;3308;64.862.745.098;3079;21.3;1.141.142.857.143;565;7988;0;0;1256;2;2;6167;29;16;7988;31;18;58.064.516.129;0.3880821232;256.75;77.246.666.666.667;684.714.285.714;677.071.428.571;3308;22.851.190.476.191;Non-web libraries and frameworks
effectivejava;git://github.com/ftomassetti/effectivejava.git;338;23;3;22;14595;3;591;7;360;120;328;197;17.513.333.333.333;110;5254;0;0;534;8;7;4610;32;16;5254;40;23;57.5;0.761324705;96.5;224.813.333.333.333;6.504.444.444.444;9.741.666.666.667;360;49.124.888.888.889;Software tools
rest.li;git://github.com/linkedin/rest.li.git;912;133;33;180;59965;250;2225;3;1067;4268;1173;674.242.424.242;5.358.484.848.485;1017;17683;0;0;2133;6;3;14533;41;24;17683;47;27;574.468.085.106;0.2657920036;314.5;24056;2.120.909.090.909;3.016.363.636.364;1067;51.902.454.545.455;Non-web libraries and frameworks
BoofCV;git://github.com/lessthanoptimal/BoofCV.git;173;45;2;69;51712;18;2773;3;1576;875.555.555.556;1325;1386.5;12791.5;6610;25583;0;0;3039;0;0;15934;7;4;25583;7;4;571.428.571.429;0.02736192;72.25;145.098.666.666.667;47.266.666.666.667;7089;1576;317.125.166.666.667;Non-web libraries and frameworks
elasticsearch;git://github.com/elastic/elasticsearch.git;12405;1263;500;3996;403678;129;6035;40;2021;156.666.666.667;15022;12.07;105492;5410;52746;10;6;5990;33;13;41346;66;43;52746;109;62;56.880.733.945;0.2066507413;4541;270.112.333.333.333;205854;58781;2021;553.877.936.666.667;Software tools
sonarqube;git://github.com/SonarSource/sonarqube.git;708;97;35;374;748653;197;8938;53;1810;91.878.172.589;16672;2.553.714.285.714;12.598.571.428.572;4858;44095;149;65;4744;124;87;34493;275;156;44095;548;308;56.204.379.562;12.427.712.893;303.5;244.963.333.333.333;5.167.428.571.429;7.576.142.857.143;1810;55.768.380.952.381;Application
lenskit;git://github.com/lenskit/lenskit.git;322;63;18;147;28419;44;975;7;1950;443.181.818.182;4697;541.666.666.667;3.488.888.888.889;298;6280;0;0;886;4;4;5096;48;25;6280;52;29;557.692.307.692;0.8280254777;137.5;9992;1.403.518.518.519;2.015.277.777.778;1950;24.842.759.259.259;Application
ccnx;git://github.com/ProjectCCNx/ccnx.git;154;44;9;56;22371;32;1325;2;2453;7.665.625;11113;1.472.222.222.222;9.572.222.222.222;2437;8615;0;0;658;4;0;5520;50;30;8615;54;30;555.555.555.556;0.626813697;65.75;574.563.333.333.333;3.711.481.481.481;5.522.222.222.222;2453;121.796.907.407.407;Non-web libraries and frameworks
modeshape;git://github.com/ModeShape/modeshape.git;141;19;46;147;160540;72;3214;11;2756;382.777.777.778;4635;698.695.652.174;7.651.086.956.522;5712;35195;7;2;2792;3;3;26691;23;13;35195;33;18;545.454.545.455;0.0937633187;88.25;139.163.333.333.333;2.936.594.202.899;4.174.891.304.348;2756;34.943.463.768.116;System Software
zeno;git://github.com/Netflix/zeno.git;143;204;9;35;6306;30;248;5;652;217.333.333.333;239;275.555.555.556;2.564.444.444.444;120;2308;0;0;274;0;0;1914;22;12;2308;22;12;545.454.545.455;0.9532062392;97.75;76.966.666.666.667;976.666.666.667;142;652;17.372.166.666.667;Non-web libraries and frameworks
geppetto;git://github.com/cloudsmith/geppetto.git;195;24;9;15;18474;19;2308;15;1091;574.210.526.316;1464;2.564.444.444.444;20.184.444.444.445;4866;18166;0;0;1349;1;1;11951;10;5;18166;11;6;545.454.545.455;0.0605526808;60.75;176.893.333.333.333;7.612.962.962.963;11.374.444.444.445;1091;41.479.648.148.148;Software tools
OpenAtlas;git://github.com/bunnyblue/OpenAtlas.git;343;46;3;114;34722;6;180;6;158;263.333.333.333;528;60;5.513.333.333.333;433;1654;3;3;156;2;1;1065;6;2;1654;11;6;545.454.545.455;0.6650544135;126.5;279.610.666.666.667;2.047.777.777.778;3.056.666.666.667;158;560.811.222.222.222;System Software
ofbiz;git://github.com/apache/ofbiz.git;204;68;13;220;827687;24;9491;39;3338;1.390.833.333.333;22254;7.300.769.230.769;17.515.384.615.385;4041;22770;1;0;1940;5;5;16789;177;94;22770;183;99;540.983.606.557;0.8036890646;126.25;111519;8.315.384.615.385;12.408.076.923.077;3338;234.111.192.307.692;Web libraries and frameworks
camel;git://github.com/apache/camel.git;606;117;200;781;294730;88;17057;22;3077;349.659.090.909;20921;85285;514215;5967;102843;33;12;14039;41;33;82837;440;233;102843;514;278;540.856.031.128;0.4997909435;426;610.733.333.333.333;266.5;299.75;3077;130.285.166.666.667;Non-web libraries and frameworks
kite;git://github.com/kite-sdk/kite.git;149;39;31;124;79045;15;1332;9;926;617.333.333.333;2388;429.677.419.355;2.786.774.193.548;627;8639;1;1;988;0;0;7024;12;6;8639;13;7;538.461.538.462;0.1504803797;85.75;9477;1.175.483.870.968;1.608.225.806.452;926;21.534.241.935.484;Non-web libraries and frameworks
log4j;git://github.com/apache/log4j.git;165;36;4;126;19172;73;620;8;5313;727.808.219.178;3275;155;1052.25;825;4209;24;18;420;5;4;2964;62;26;4209;91;48;527.472.527.473;21.620.337.372;82.75;564.746.666.666.667;403.75;603625;5313;125.755.583.333.333;Non-web libraries and frameworks
itextpdf;git://github.com/itext/itextpdf.git;135;45;13;73;164003;86;1212;3;5272;613.023.255.814;4507;932.307.692.308;11.487.692.307.692;4578;14934;13;10;925;28;3;9431;49;34;14934;90;47;522.222.222.222;0.6026516673;66.5;425.336.666.666.667;4.183.333.333.333;621;5272;9782.3;Non-web libraries and frameworks
struts;git://github.com/apache/struts.git;238;54;14;248;108575;71;4092;2;3457;486.901.408.451;4067;2.922.857.142.857;1440;2553;20160;2;1;2224;11;2;15383;14;11;20160;27;14;518.518.518.519;0.1339285714;138.5;318.886.666.666.667;5.820.952.380.952;8.661.428.571.429;3457;7.386.480.952.381;Web libraries and frameworks
activemq;git://github.com/apache/activemq.git;314;91;36;300;70456;36;5050;12;3539;983.055.555.556;8833;1.402.777.777.778;13.519.722.222.222;6014;48671;0;0;4596;6;3;38061;25;13;48671;31;16;516.129.032.258;0.0636929588;185.25;190568;5.094.166.666.667;746125;3539;391.095.583.333.333;Application
griffon;git://github.com/griffon/griffon.git;119;14;12;38;520229;32;2804;8;2529;7.903.125;2526;2.336.666.666.667;7.151.666.666.667;459;8582;0;0;1080;3;2;7043;30;15;8582;33;17;515.151.515.152;0.3845257516;45.75;43.846.666.666.667;3.202.777.777.778;4.744.166.666.667;2529;15.508.222.222.222;Non-web libraries and frameworks
bonecp;git://github.com/wwadge/bonecp.git;385;81;16;125;4443;25;129;6;2041;81.64;579;80.625;145.25;123;2324;0;0;102;0;0;2099;37;19;2324;37;19;513.513.513.514;15.920.826.162;151.75;156.599.333.333.333;564.375;7.665.625;2041;317.850.354.166.667;Non-web libraries and frameworks
