project,stars,whatchers,contributors,forks,size,category
openhab,1591,311,300,923,259640,Application
mongo-hadoop,968,135,47,399,93372,Non-web libraries and frameworks
lwjgl,396,83,26,108,40230,Non-web libraries and frameworks
sqoop-release,124,25,13,130,19619,System Software
java-driver,497,133,59,354,24339,Application
robocode,158,44,4,63,73243,Application
c3p0,383,62,5,113,6685,Non-web libraries and frameworks
powermock,201,26,9,96,6447,Non-web libraries and frameworks
flyway,916,88,38,315,14174,Application
joda-time,1536,139,35,357,17397,Non-web libraries and frameworks
zaproxy,274,39,38,65,178902,Application
android-support-v4-googlemaps,190,26,3,62,45304,Non-web libraries and frameworks
android-xbmcremote,383,84,20,305,24023,Non-web libraries and frameworks
gs-collections,1256,190,9,173,18833,Non-web libraries and frameworks
pdfbox,198,36,5,151,100536,Non-web libraries and frameworks
spring-integration,374,84,62,349,88887,Software tools
opencms-core,205,81,33,206,1004959,Web libraries and frameworks
Terasology,1106,123,60,440,320790,Non-web libraries and frameworks
bc-java,202,49,23,179,26668,Application
activejdbc,221,42,17,82,11236,Non-web libraries and frameworks
google-api-java-client,205,48,12,136,14301,Non-web libraries and frameworks
args4j,332,29,23,102,8402,Non-web libraries and frameworks
groovy-eclipse,108,24,13,73,560822,Software tools
railo,246,45,15,86,923239,Software tools
assertj-core,457,39,64,117,25795,Non-web libraries and frameworks
pgjdbc,154,40,56,143,16170,Non-web libraries and frameworks
android-beacon-library,766,120,17,267,7210,Non-web libraries and frameworks
togglz,137,31,17,61,2422,Non-web libraries and frameworks
Smack,504,122,31,319,30731,Non-web libraries and frameworks
jackson-core,725,96,24,242,9776,Non-web libraries and frameworks
zk,159,46,34,103,747752,Web libraries and frameworks
android_frameworks_base,354,134,94,999,2782643,Non-web libraries and frameworks
TwelveMonkeys,224,38,10,77,206337,Non-web libraries and frameworks
languagetool,455,54,32,128,309069,Software tools
spring-android,538,91,6,204,5755,Non-web libraries and frameworks
freemarker,327,60,6,134,19886,Non-web libraries and frameworks
ormlite-core,212,33,5,108,19738,Non-web libraries and frameworks
keepassdroid,527,87,20,204,20089,Non-web libraries and frameworks
spring-data-mongodb,400,133,39,331,29042,Software tools
hudson-2.x,150,16,30,41,72864,System Software
geoserver,457,128,200,548,238056,System Software
logstash-logback-encoder,226,22,33,80,1947,Non-web libraries and frameworks
shiro,182,43,2,134,27372,Application
JavaHamcrest,603,81,13,117,21884,Non-web libraries and frameworks
enunciate,177,40,17,90,28563,Web libraries and frameworks
hibernate-orm,1332,198,200,1137,264120,Non-web libraries and frameworks
davdroid,499,68,10,128,50252,Application
OpenIAB,398,70,26,151,273406,Non-web libraries and frameworks
Applied-Energistics-2,256,83,33,117,23405,Application
servo,702,267,22,142,9296,Application
spring-data-commons,155,86,30,134,13005,Software tools
jmeter,237,60,4,148,199571,Application
zookeeper,1075,211,8,784,49099,Software tools
jPOS,146,42,26,152,46995,Application
thymeleaf,364,67,11,89,10039,Web libraries and frameworks
restfb,296,60,24,150,10425,Non-web libraries and frameworks
spring-data-rest,305,106,28,186,12069,Non-web libraries and frameworks
platform_frameworks_support,556,89,42,349,37011,Non-web libraries and frameworks
openwayback,112,39,24,76,45226,Software tools
soot,311,51,45,138,183275,Non-web libraries and frameworks
OG-Platform,223,51,41,143,937089,Software tools
grails-core,1445,171,200,699,414029,Web libraries and frameworks
mapdb,1545,220,24,393,14464,System Software
Openfire,526,118,50,391,775974,System Software
jclouds,197,49,200,301,189447,Software tools
EhViewer,232,35,1,42,104633,Application
GWTP,279,61,41,101,414879,Web libraries and frameworks
mongo-java-driver,1308,184,77,815,45782,Non-web libraries and frameworks
hudson,345,45,400,2068,120559,Software tools
gwt,426,130,57,94,332650,Software tools
cursor-utils,180,45,5,9,463,Non-web libraries and frameworks
Java-Thread-Affinity,147,50,8,54,7758,Application
gnucash-android,351,62,26,194,18536,Application
subsonic,185,45,4,53,261413,Application
Subsonic,125,25,12,51,142550,Non-web libraries and frameworks
AxonFramework,289,55,37,121,27575,Non-web libraries and frameworks
liquibase,759,82,200,526,136858,System Software
operaprestodriver,126,42,18,52,143590,Non-web libraries and frameworks
playn,200,47,29,69,80114,Non-web libraries and frameworks
nifty-gui,118,32,21,48,58106,Non-web libraries and frameworks
frames,136,33,10,37,6900,Non-web libraries and frameworks
