project,Popularity,Size,Community,Activity,Maturity,Repl. Msg (%),category
ngrinder,57.5,142100.666666667,161.6666666667,237.5,1151,71.4285714286,Application
rstudio,367,8486.3333333333,314.4942528736,457.2413793103,1718,71.4285714286,Application
Ektorp,85.75,15014,39.8596491228,40.7894736842,1434,71.4285714286,Non-web libraries and frameworks
quickfixj,56.25,13973,126.8974358974,183.8461538462,3790,71.4285714286,Non-web libraries and frameworks
antlr4,326,41386.6666666667,91.350877193,118.0263157895,2031,70.9677419355,Software tools
sling,71.25,17779.6666666667,1037.3571428572,1549.0357142857,2903,70.8695652174,Web libraries and frameworks
javassist,127.75,147093.333333333,447.3333333333,668,4495,70,Software tools
bigbluebutton,1089,93631.3333333333,113.8771929825,142.3157894737,2648,70,Application
geotools,178.5,73282.6666666667,575.4226804124,814.6340206186,1665,69.7132616487,Non-web libraries and frameworks
tomcat,297.75,34305.3333333333,1423.5185185185,2130.7777777778,3434,69.6721311475,System Software
UniversalMediaServer,112.75,89852.3333333333,91.1444444444,121.7166666667,1170,69.2607003891,Application
wicket,130.25,9124.3333333333,307.5333333333,443.8,3986,69.2307692308,Web libraries and frameworks
proctor,43.75,89242.3333333333,40.4615384615,54.1923076923,581,69.2307692308,Non-web libraries and frameworks
i2p.i2p,76.25,442917,1512.7333333333,2266.6,4133,68.9781021898,System Software
selenium,778.75,13242,95.8233333333,43.735,3940,68.1818181818,Non-web libraries and frameworks
citrus,178.5,12247,#DIV/0!,#DIV/0!,1328,68.1818181818,Web libraries and frameworks
WorldEdit,320.25,3391.3333333333,58.3888888889,57.5833333333,1767,68.0722891566,Application
browsermob-proxy,109.25,564009.333333333,153.8333333333,221.75,1388,68,Software tools
liferay-plugins,654.25,15260.6666666667,156.03,84.045,2977,66.6666666667,Application
PayPal-Java-SDK,91.75,67686,66.4561403509,90.1842105263,897,66.6666666667,Non-web libraries and frameworks
vraptor,178.5,3419,50.3487179487,43.0230769231,2337,66.6666666667,Web libraries and frameworks
sshj,189.75,2388.6666666667,49.55,64.325,1998,66.6666666667,Non-web libraries and frameworks
capsule,165.75,28563.3333333333,39.2083333333,54.8125,487,66.6666666667,Software tools
picard,76,5837,85.5047619048,110.7571428571,2288,66.6666666667,System Software
gs-core,44.5,2552.6666666667,207,304.5,2331,66.6666666667,Non-web libraries and frameworks
slice,53.75,5255.3333333333,37.4444444444,51.6666666667,865,66.6666666667,Non-web libraries and frameworks
cube-sdk,229.25,2777.6666666667,215.5555555556,321.8333333333,543,66.6666666667,Non-web libraries and frameworks
Minecraft-Server-Mod,67,5650.6666666667,36.4305555556,42.6458333333,211,66.6666666667,System Software
btrace,40.75,11361.6666666667,327.5833333333,489.375,2255,66.6666666667,System Software
AntennaPod,328.75,64505.3333333333,57.268115942,62.902173913,1336,66.6666666667,Application
mycollab,78.75,12600.3333333333,13647,20470,567,66.6666666667,Non-web libraries and frameworks
elasticsearch-analysis-icu,40.25,1968,7.5476190476,4.3214285714,1320,66.6666666667,Application
ImageViewEx,77.5,569.6666666667,48.3333333333,71.5,705,66.6666666667,Non-web libraries and frameworks
ormlite-android,221.25,11979.3333333333,24.4666666667,34.2,1696,66.6666666667,Non-web libraries and frameworks
jmxtrans,276,4390.6666666667,27.1277777778,10.6916666667,1710,66.6666666667,Application
transdroid,101.25,5398.6666666667,80.5128205128,114.2692307692,1287,66.6666666667,Application
spring-social-facebook,95.75,66247.3333333333,66.4117647059,91.1176470588,1829,66.6666666667,Non-web libraries and frameworks
structr,105.25,36813,279.8666666667,412.3,1662,66.6666666667,Non-web libraries and frameworks
tika,101.25,51410.3333333333,250.1666666667,369.25,3064,65.2173913043,Non-web libraries and frameworks
gridgain,99.5,105814.333333333,777.0933333333,1153.14,547,65.1376146789,Non-web libraries and frameworks
incubator-brooklyn,60.75,23227.3333333333,266.0212765957,375.5319148936,1532,65.1162790698,System Software
spring-roo,185.75,64868.6666666667,131.6805555556,185.5208333333,2289,64.9122807018,Non-web libraries and frameworks
aws-sdk-java,502.75,60850.6666666667,533.3744292237,763.5616438356,1977,64.8648648649,Non-web libraries and frameworks
ceylon-compiler,60.25,10686,305.4523809524,444.1785714286,2037,64.7058823529,System Software
eureka,434.25,52147.6666666667,34.2407407407,33.3611111111,5332,64.2857142857,Software tools
erlide,62.75,15398,478.3888888889,711.5833333333,3146,64.2857142857,Software tools
optiq,89.5,80609,268.0909090909,391.1363636364,909,64.2857142857,System Software
soapui,99.75,54204,284.6140350877,407.9210526316,2611,63.6363636364,Non-web libraries and frameworks
xtreemfs,43,109607.333333333,482.2777777778,714.4166666667,2447,63.6363636364,System Software
hbase,233.75,327936.333333333,529.3166666667,763.975,3062,63.612565445,System Software
voltdb,239.5,24082,453.4965986395,655.7448979592,2011,62.8048780488,Software tools
Multiverse-Core,94.75,47256,32.8253968254,38.7380952381,1603,62.7906976744,Non-web libraries and frameworks
wro4j,170.5,3907,75.5225225225,94.7837837838,2218,62.5,Web libraries and frameworks
rest-driver,42.25,181131,40.9166666667,55.375,1489,62.5,Non-web libraries and frameworks
bytecode-viewer,236.5,182917.666666667,239.5925925926,354.8888888889,308,62.0689655172,Software tools
cas,406,116669.333333333,55.8947368421,55.3421052632,1855,61.9047619048,Web libraries and frameworks
wonder,110.5,20587.3333333333,350.2413793103,496.3620689655,4947,61.801242236,Non-web libraries and frameworks
selenide,73.25,13328,44.4722222222,60.7083333333,1385,61.5384615385,Non-web libraries and frameworks
XChange,233.5,35706.6666666667,106.0238095238,124.0357142857,1295,61.5384615385,Non-web libraries and frameworks
pig,187,11254.3333333333,1365.1111111111,2044.6666666667,2357,61.4864864865,Software tools
WorldGuard,176,29010.6666666667,39.9416666667,39.9125,1738,61.1111111111,Application
accumulo,90.25,236138.666666667,323.7592592593,458.6388888889,1416,60.7407407407,System Software
jmonkeyengine,270.25,27359.6666666667,280.7619047619,400.1428571429,1621,60.396039604,Software tools
jdom,58.75,4431.3333333333,380.8666666667,568.8,5376,60,Non-web libraries and frameworks
github-api,111.75,12153,27.641025641,15.4615384615,1945,60,Non-web libraries and frameworks
concourse,79.5,11242.6666666667,761.4047619048,1135.1071428572,972,60,System Software
jzmq,204.25,1226.6666666667,24.2204301075,5.3306451613,1901,60,Software tools
RichTextFX,43.5,44778,60.2,87.8,685,60,Non-web libraries and frameworks
nutch,206.5,43104.3333333333,329.3333333333,491.5,3859,60,Application
sqlite-jdbc,45.25,37868.6666666667,52.3076923077,71.9615384615,2850,60,Non-web libraries and frameworks
stratosphere,87.75,15485,168.1707317073,231.756097561,1288,59.5744680851,Non-web libraries and frameworks
pad,315.5,113199.666666667,77.1052631579,96.6578947368,1242,59.0909090909,Software tools
mondrian,182,12850.3333333333,186.3650793651,258.5476190476,4807,59.0909090909,Application
osmosis,70.25,5566.3333333333,109.2753623188,152.4130434783,3024,58.5365853659,System Software
fab,185.5,10762.3333333333,40.5555555556,59.3333333333,135,58.3333333333,Non-web libraries and frameworks
testng,256.75,7724.6666666667,68.4714285714,67.7071428571,3308,58.064516129,Non-web libraries and frameworks
effectivejava,96.5,22481.3333333333,650.4444444444,974.1666666667,360,57.5,Software tools
rest.li,314.5,24056,212.0909090909,301.6363636364,1067,57.4468085106,Non-web libraries and frameworks
BoofCV,72.25,145098.666666667,4726.6666666667,7089,1576,57.1428571429,Non-web libraries and frameworks
elasticsearch,4541,270112.333333333,205.854,58.781,2021,56.880733945,Software tools
sonarqube,303.5,24496.3333333333,516.7428571429,757.6142857143,1810,56.204379562,Application
lenskit,137.5,9992,140.3518518519,201.5277777778,1950,55.7692307692,Application
ccnx,65.75,57456.3333333333,371.1481481481,552.2222222222,2453,55.5555555556,Non-web libraries and frameworks
modeshape,88.25,13916.3333333333,293.6594202899,417.4891304348,2756,54.5454545455,System Software
